TIPUS,VALASZTAS,MEGYE,TELEPULES,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2019EP,BUDAPEST,Budapest II. kerület,054,MSZP-PARBESZED,68
Listas,2019EP,BUDAPEST,Budapest II. kerület,055,MSZP-PARBESZED,51
Listas,2019EP,BUDAPEST,Budapest II. kerület,056,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest II. kerület,057,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest II. kerület,058,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest II. kerület,059,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest II. kerület,060,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest II. kerület,061,MSZP-PARBESZED,41
Listas,2019EP,BUDAPEST,Budapest II. kerület,062,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest II. kerület,063,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest II. kerület,064,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest II. kerület,065,MSZP-PARBESZED,25
Listas,2019EP,BUDAPEST,Budapest II. kerület,066,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest II. kerület,067,MSZP-PARBESZED,28
Listas,2019EP,BUDAPEST,Budapest II. kerület,068,MSZP-PARBESZED,54
Listas,2019EP,BUDAPEST,Budapest II. kerület,069,MSZP-PARBESZED,38
Listas,2019EP,BUDAPEST,Budapest II. kerület,070,MSZP-PARBESZED,30
Listas,2019EP,BUDAPEST,Budapest II. kerület,071,MSZP-PARBESZED,57
Listas,2019EP,BUDAPEST,Budapest II. kerület,072,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest II. kerület,073,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest II. kerület,074,MSZP-PARBESZED,31
Listas,2019EP,BUDAPEST,Budapest III. kerület,001,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,002,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest III. kerület,003,MSZP-PARBESZED,61
Listas,2019EP,BUDAPEST,Budapest III. kerület,004,MSZP-PARBESZED,55
Listas,2019EP,BUDAPEST,Budapest III. kerület,005,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,006,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest III. kerület,007,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest III. kerület,008,MSZP-PARBESZED,45
Listas,2019EP,BUDAPEST,Budapest III. kerület,009,MSZP-PARBESZED,61
Listas,2019EP,BUDAPEST,Budapest III. kerület,010,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,011,MSZP-PARBESZED,57
Listas,2019EP,BUDAPEST,Budapest III. kerület,012,MSZP-PARBESZED,39
Listas,2019EP,BUDAPEST,Budapest III. kerület,013,MSZP-PARBESZED,54
Listas,2019EP,BUDAPEST,Budapest III. kerület,014,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest III. kerület,015,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest III. kerület,016,MSZP-PARBESZED,38
Listas,2019EP,BUDAPEST,Budapest III. kerület,017,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest III. kerület,018,MSZP-PARBESZED,51
Listas,2019EP,BUDAPEST,Budapest III. kerület,019,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest III. kerület,020,MSZP-PARBESZED,51
Listas,2019EP,BUDAPEST,Budapest III. kerület,021,MSZP-PARBESZED,39
Listas,2019EP,BUDAPEST,Budapest III. kerület,022,MSZP-PARBESZED,46
Listas,2019EP,BUDAPEST,Budapest III. kerület,023,MSZP-PARBESZED,36
Listas,2019EP,BUDAPEST,Budapest III. kerület,024,MSZP-PARBESZED,35
Listas,2019EP,BUDAPEST,Budapest III. kerület,025,MSZP-PARBESZED,44
Listas,2019EP,BUDAPEST,Budapest III. kerület,026,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest III. kerület,027,MSZP-PARBESZED,50
Listas,2019EP,BUDAPEST,Budapest III. kerület,028,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,029,MSZP-PARBESZED,27
Listas,2019EP,BUDAPEST,Budapest III. kerület,030,MSZP-PARBESZED,42
Listas,2019EP,BUDAPEST,Budapest III. kerület,031,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest III. kerület,032,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest III. kerület,033,MSZP-PARBESZED,62
Listas,2019EP,BUDAPEST,Budapest III. kerület,034,MSZP-PARBESZED,69
Listas,2019EP,BUDAPEST,Budapest III. kerület,035,MSZP-PARBESZED,63
Listas,2019EP,BUDAPEST,Budapest III. kerület,036,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest III. kerület,037,MSZP-PARBESZED,53
Listas,2019EP,BUDAPEST,Budapest III. kerület,038,MSZP-PARBESZED,43
Listas,2019EP,BUDAPEST,Budapest III. kerület,039,MSZP-PARBESZED,58
Listas,2019EP,BUDAPEST,Budapest III. kerület,040,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest III. kerület,041,MSZP-PARBESZED,40
Listas,2019EP,BUDAPEST,Budapest III. kerület,042,MSZP-PARBESZED,129
Listas,2019EP,BUDAPEST,Budapest III. kerület,043,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest III. kerület,044,MSZP-PARBESZED,69
Listas,2019EP,BUDAPEST,Budapest III. kerület,045,MSZP-PARBESZED,52
Listas,2019EP,BUDAPEST,Budapest III. kerület,046,MSZP-PARBESZED,61
Listas,2019EP,BUDAPEST,Budapest III. kerület,047,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,048,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest III. kerület,049,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest III. kerület,050,MSZP-PARBESZED,63
Listas,2019EP,BUDAPEST,Budapest III. kerület,051,MSZP-PARBESZED,34
Listas,2019EP,BUDAPEST,Budapest III. kerület,052,MSZP-PARBESZED,33
Listas,2019EP,BUDAPEST,Budapest III. kerület,053,MSZP-PARBESZED,37
Listas,2019EP,BUDAPEST,Budapest III. kerület,054,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest III. kerület,055,MSZP-PARBESZED,56
Listas,2019EP,BUDAPEST,Budapest III. kerület,056,MSZP-PARBESZED,48
Listas,2019EP,BUDAPEST,Budapest III. kerület,057,MSZP-PARBESZED,49
Listas,2019EP,BUDAPEST,Budapest III. kerület,058,MSZP-PARBESZED,28
