SZAVAZOKOR,MEGYEKOD,MEGYE,OEVK,TELEPULES_SORSZAM,TELEPULES,SZAVKORCIM,AKADALYMENTES,ATJELENTKEZOK
01-001-001,01,BUDAPEST,01,001,Budapest I. kerület,Úri u. 38. (Önkormányzat intézménye),Igen,Nem
01-001-002,01,BUDAPEST,01,001,Budapest I. kerület,Tárnok u. 9-11. (Budavári Általános Iskola),Igen,Nem
01-001-003,01,BUDAPEST,01,001,Budapest I. kerület,Bem rkp. 6. (Budavári Mûvelõdési Ház),Igen,Igen
01-001-004,01,BUDAPEST,01,001,Budapest I. kerület,Fõ u. 31. (III. sz. Idõsek Klubja),Igen,Nem
01-001-005,01,BUDAPEST,01,001,Budapest I. kerület,Toldy F. u. 9. (Toldy Ferenc Gimnázium),Igen,Nem
01-001-006,01,BUDAPEST,01,001,Budapest I. kerület,Toldy F. u. 66. (Vízivárosi Óvoda),Igen,Nem
01-001-007,01,BUDAPEST,01,001,Budapest I. kerület,Batthyány u. 8. (Batthyány Általános Iskola),Nem,Nem
01-001-008,01,BUDAPEST,01,001,Budapest I. kerület,Hattyú u. 16. (I. sz. Idõsek Klubja),Igen,Nem
01-001-009,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 135-137. (Kosztolányi Dezsõ Gimnázium),Igen,Nem
01-001-010,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 135-137. (Kosztolányi Dezsõ Gimnázium),Igen,Nem
01-001-011,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 89. (Szociális Szolgáltatási Központ),Igen,Nem
01-001-012,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 43. (Petõfi Sándor Gimnázium),Igen,Nem
01-001-013,01,BUDAPEST,01,001,Budapest I. kerület,Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium),Igen,Nem
01-001-014,01,BUDAPEST,01,001,Budapest I. kerület,Mészáros u. 5-7. (Szilágyi Erzsébet Gimnázium),Igen,Nem
01-001-015,01,BUDAPEST,01,001,Budapest I. kerület,Attila út 43. (Petõfi Sándor Gimnázium),Igen,Nem
01-001-016,01,BUDAPEST,01,001,Budapest I. kerület,Nyárs u. 2-4. (Naphegyi Óvoda),Igen,Nem
01-001-017,01,BUDAPEST,01,001,Budapest I. kerület,Lisznyai u. 40-42.(Általános Iskola),Igen,Nem
01-001-018,01,BUDAPEST,01,001,Budapest I. kerület,Döbrentei u. 19-21. (Fsz-i Önk. Irodahelyiség),Igen,Nem
01-001-019,01,BUDAPEST,01,001,Budapest I. kerület,Zsolt utca 6/A. (Felnõtt Háziorvosi Rendelõ),Igen,Nem
01-001-020,01,BUDAPEST,01,001,Budapest I. kerület,Bérc u. 13-15. (Magyar Külügyi Intézet),Igen,Nem
01-002-001,01,BUDAPEST,04,002,Budapest II. kerület,Ürömi u. 64.  (Újlaki Ált. Isk.),Nem,Nem
01-002-002,01,BUDAPEST,04,002,Budapest II. kerület,Lajos u. 1-5. (Than Károly Gimn.),Nem,Nem
01-002-003,01,BUDAPEST,04,002,Budapest II. kerület,Lajos u. 1-5. (Than Károly Gimn.),Nem,Nem
01-002-004,01,BUDAPEST,04,002,Budapest II. kerület,Bolyai u. 15. (Óvoda),Nem,Nem
01-002-005,01,BUDAPEST,04,002,Budapest II. kerület,Áldás u. 1.  (Ált. Iskola),Nem,Nem
01-002-006,01,BUDAPEST,04,002,Budapest II. kerület,Ürömi u. 64. (Újlaki  Ált. Isk.),Nem,Nem
01-002-007,01,BUDAPEST,04,002,Budapest II. kerület,Törökvész út 18. (Kézmûv. Óvoda),Igen,Nem
