SZAVAZOKOR,MEGYE,TELEPULES,OEVK14,OEVK26,OEVK
01-001-001,BUDAPEST,Budapest I. kerület,01,01,01
01-001-002,BUDAPEST,Budapest I. kerület,01,01,01
01-001-003,BUDAPEST,Budapest I. kerület,01,01,01
01-001-004,BUDAPEST,Budapest I. kerület,01,01,01
01-001-005,BUDAPEST,Budapest I. kerület,01,01,01
01-001-006,BUDAPEST,Budapest I. kerület,01,01,01
01-001-007,BUDAPEST,Budapest I. kerület,01,01,01
01-001-008,BUDAPEST,Budapest I. kerület,01,01,01
01-001-009,BUDAPEST,Budapest I. kerület,01,01,01
01-001-010,BUDAPEST,Budapest I. kerület,01,01,01
01-001-011,BUDAPEST,Budapest I. kerület,01,01,01
01-001-012,BUDAPEST,Budapest I. kerület,01,01,01
01-001-013,BUDAPEST,Budapest I. kerület,01,01,01
01-001-014,BUDAPEST,Budapest I. kerület,01,01,01
01-001-015,BUDAPEST,Budapest I. kerület,01,01,01
01-001-016,BUDAPEST,Budapest I. kerület,01,01,01
01-002-001,BUDAPEST,Budapest II. kerület,04,04,04
01-002-002,BUDAPEST,Budapest II. kerület,04,04,04
01-002-003,BUDAPEST,Budapest II. kerület,04,04,04
01-002-004,BUDAPEST,Budapest II. kerület,04,04,04
01-002-005,BUDAPEST,Budapest II. kerület,04,04,04
01-002-006,BUDAPEST,Budapest II. kerület,04,04,04
01-002-007,BUDAPEST,Budapest II. kerület,04,04,04
01-002-008,BUDAPEST,Budapest II. kerület,04,04,04
01-002-009,BUDAPEST,Budapest II. kerület,04,04,04
01-002-010,BUDAPEST,Budapest II. kerület,04,04,04
01-002-011,BUDAPEST,Budapest II. kerület,04,04,04
01-002-012,BUDAPEST,Budapest II. kerület,04,04,04
01-002-013,BUDAPEST,Budapest II. kerület,04,04,04
01-002-014,BUDAPEST,Budapest II. kerület,04,04,04
01-002-015,BUDAPEST,Budapest II. kerület,04,04,04
01-002-016,BUDAPEST,Budapest II. kerület,04,04,04
01-002-017,BUDAPEST,Budapest II. kerület,04,04,04
01-002-018,BUDAPEST,Budapest II. kerület,04,04,04
01-002-019,BUDAPEST,Budapest II. kerület,04,04,04
01-002-020,BUDAPEST,Budapest II. kerület,04,04,04
01-002-021,BUDAPEST,Budapest II. kerület,04,04,04
01-002-022,BUDAPEST,Budapest II. kerület,04,04,04
01-002-023,BUDAPEST,Budapest II. kerület,04,04,04
01-002-024,BUDAPEST,Budapest II. kerület,04,04,04
01-002-025,BUDAPEST,Budapest II. kerület,04,04,04
01-002-026,BUDAPEST,Budapest II. kerület,04,04,04
01-002-027,BUDAPEST,Budapest II. kerület,04,04,04
01-002-028,BUDAPEST,Budapest II. kerület,04,04,04
01-002-029,BUDAPEST,Budapest II. kerület,04,04,04
01-002-030,BUDAPEST,Budapest II. kerület,04,04,04
01-002-031,BUDAPEST,Budapest II. kerület,04,04,04
01-002-032,BUDAPEST,Budapest II. kerület,04,04,04
01-002-033,BUDAPEST,Budapest II. kerület,04,04,04
01-002-034,BUDAPEST,Budapest II. kerület,04,04,04
01-002-035,BUDAPEST,Budapest II. kerület,04,04,04
01-002-036,BUDAPEST,Budapest II. kerület,04,04,04
01-002-037,BUDAPEST,Budapest II. kerület,04,04,04
01-002-038,BUDAPEST,Budapest II. kerület,04,04,04
01-002-039,BUDAPEST,Budapest II. kerület,04,04,04
01-002-040,BUDAPEST,Budapest II. kerület,04,04,04
01-002-041,BUDAPEST,Budapest II. kerület,04,04,04
01-002-042,BUDAPEST,Budapest II. kerület,04,04,04
01-002-043,BUDAPEST,Budapest II. kerület,04,04,04
01-002-044,BUDAPEST,Budapest II. kerület,04,04,04
01-002-045,BUDAPEST,Budapest II. kerület,04,04,04
01-002-046,BUDAPEST,Budapest II. kerület,04,04,04
01-002-047,BUDAPEST,Budapest II. kerület,04,04,04
01-002-048,BUDAPEST,Budapest II. kerület,04,04,04
01-002-049,BUDAPEST,Budapest II. kerület,04,04,04
01-002-050,BUDAPEST,Budapest II. kerület,03,04,03
01-002-051,BUDAPEST,Budapest II. kerület,03,04,03
01-002-052,BUDAPEST,Budapest II. kerület,03,04,03
01-002-053,BUDAPEST,Budapest II. kerület,03,04,03
01-002-054,BUDAPEST,Budapest II. kerület,03,04,03
01-002-055,BUDAPEST,Budapest II. kerület,03,04,03
01-002-056,BUDAPEST,Budapest II. kerület,03,04,03
01-002-057,BUDAPEST,Budapest II. kerület,03,04,03
01-002-058,BUDAPEST,Budapest II. kerület,03,04,03
01-002-059,BUDAPEST,Budapest II. kerület,03,04,03
01-002-060,BUDAPEST,Budapest II. kerület,03,04,03
01-002-061,BUDAPEST,Budapest II. kerület,03,04,03
01-002-062,BUDAPEST,Budapest II. kerület,03,04,03
01-002-063,BUDAPEST,Budapest II. kerület,03,04,03
01-002-064,BUDAPEST,Budapest II. kerület,03,04,03
01-002-065,BUDAPEST,Budapest II. kerület,03,04,03
01-002-066,BUDAPEST,Budapest II. kerület,03,04,03
01-002-067,BUDAPEST,Budapest II. kerület,03,04,03
01-002-068,BUDAPEST,Budapest II. kerület,03,04,03
01-002-069,BUDAPEST,Budapest II. kerület,03,04,03
01-002-070,BUDAPEST,Budapest II. kerület,03,04,03
01-002-071,BUDAPEST,Budapest II. kerület,03,04,03
01-002-072,BUDAPEST,Budapest II. kerület,03,04,03
01-002-073,BUDAPEST,Budapest II. kerület,03,04,03
01-002-074,BUDAPEST,Budapest II. kerület,03,04,03
01-002-111,BUDAPEST,Budapest II. kerület,,,
01-003-001,BUDAPEST,Budapest III. kerület,04,04,04
01-003-002,BUDAPEST,Budapest III. kerület,04,04,04
01-003-003,BUDAPEST,Budapest III. kerület,04,11,04
01-003-004,BUDAPEST,Budapest III. kerület,04,04,04
01-003-005,BUDAPEST,Budapest III. kerület,04,04,04
01-003-006,BUDAPEST,Budapest III. kerület,04,04,04
01-003-007,BUDAPEST,Budapest III. kerület,04,11,04
01-003-008,BUDAPEST,Budapest III. kerület,04,04,04
01-003-009,BUDAPEST,Budapest III. kerület,04,04,04
01-003-010,BUDAPEST,Budapest III. kerület,04,04,04
01-003-011,BUDAPEST,Budapest III. kerület,04,04,04
01-003-012,BUDAPEST,Budapest III. kerület,04,04,04
01-003-013,BUDAPEST,Budapest III. kerület,04,04,04
01-003-014,BUDAPEST,Budapest III. kerület,04,04,04
01-003-015,BUDAPEST,Budapest III. kerület,04,04,04
01-003-016,BUDAPEST,Budapest III. kerület,04,04,04
01-003-017,BUDAPEST,Budapest III. kerület,04,04,04
01-003-018,BUDAPEST,Budapest III. kerület,04,04,04
01-003-019,BUDAPEST,Budapest III. kerület,04,04,04
01-003-020,BUDAPEST,Budapest III. kerület,04,04,04
01-003-021,BUDAPEST,Budapest III. kerület,04,11,04
01-003-022,BUDAPEST,Budapest III. kerület,04,11,04
01-003-023,BUDAPEST,Budapest III. kerület,04,11,04
01-003-024,BUDAPEST,Budapest III. kerület,04,11,04
01-003-025,BUDAPEST,Budapest III. kerület,04,11,04
01-003-026,BUDAPEST,Budapest III. kerület,04,11,04
01-003-027,BUDAPEST,Budapest III. kerület,04,11,04
01-003-028,BUDAPEST,Budapest III. kerület,04,11,04
01-003-029,BUDAPEST,Budapest III. kerület,04,11,04
01-003-030,BUDAPEST,Budapest III. kerület,04,11,04
01-003-031,BUDAPEST,Budapest III. kerület,10,11,10
01-003-032,BUDAPEST,Budapest III. kerület,10,11,10
01-003-033,BUDAPEST,Budapest III. kerület,10,11,10
01-003-034,BUDAPEST,Budapest III. kerület,10,11,10
01-003-035,BUDAPEST,Budapest III. kerület,10,11,10
01-003-036,BUDAPEST,Budapest III. kerület,10,11,10
01-003-037,BUDAPEST,Budapest III. kerület,10,04,10
01-003-038,BUDAPEST,Budapest III. kerület,10,11,10
01-003-039,BUDAPEST,Budapest III. kerület,10,11,10
01-003-040,BUDAPEST,Budapest III. kerület,10,11,10
01-003-041,BUDAPEST,Budapest III. kerület,10,11,10
01-003-042,BUDAPEST,Budapest III. kerület,10,11,10
01-003-043,BUDAPEST,Budapest III. kerület,10,11,10
01-003-044,BUDAPEST,Budapest III. kerület,10,11,10
01-003-045,BUDAPEST,Budapest III. kerület,10,11,10
01-003-046,BUDAPEST,Budapest III. kerület,10,11,10
01-003-047,BUDAPEST,Budapest III. kerület,10,11,10
01-003-048,BUDAPEST,Budapest III. kerület,10,11,10
01-003-049,BUDAPEST,Budapest III. kerület,10,11,10
01-003-050,BUDAPEST,Budapest III. kerület,10,11,10
01-003-051,BUDAPEST,Budapest III. kerület,10,11,10
01-003-052,BUDAPEST,Budapest III. kerület,10,11,10
01-003-053,BUDAPEST,Budapest III. kerület,10,11,10
01-003-054,BUDAPEST,Budapest III. kerület,10,11,10
01-003-055,BUDAPEST,Budapest III. kerület,10,11,10
01-003-056,BUDAPEST,Budapest III. kerület,10,11,10
01-003-057,BUDAPEST,Budapest III. kerület,10,11,10
01-003-058,BUDAPEST,Budapest III. kerület,10,11,10
01-003-059,BUDAPEST,Budapest III. kerület,10,11,10
01-003-060,BUDAPEST,Budapest III. kerület,10,11,10
01-003-061,BUDAPEST,Budapest III. kerület,10,11,10
01-003-062,BUDAPEST,Budapest III. kerület,10,11,10
01-003-063,BUDAPEST,Budapest III. kerület,10,11,10
01-003-064,BUDAPEST,Budapest III. kerület,10,11,10
01-003-065,BUDAPEST,Budapest III. kerület,10,11,10
01-003-066,BUDAPEST,Budapest III. kerület,10,11,10
01-003-067,BUDAPEST,Budapest III. kerület,10,11,10
01-003-068,BUDAPEST,Budapest III. kerület,10,11,10
01-003-069,BUDAPEST,Budapest III. kerület,10,11,10
01-003-070,BUDAPEST,Budapest III. kerület,10,11,10
01-003-071,BUDAPEST,Budapest III. kerület,10,11,10
01-003-072,BUDAPEST,Budapest III. kerület,10,11,10
01-003-073,BUDAPEST,Budapest III. kerület,10,11,10
01-003-074,BUDAPEST,Budapest III. kerület,10,11,10
01-003-075,BUDAPEST,Budapest III. kerület,10,11,10
01-003-076,BUDAPEST,Budapest III. kerület,10,11,10
01-003-077,BUDAPEST,Budapest III. kerület,10,11,10
01-003-078,BUDAPEST,Budapest III. kerület,10,11,10
01-003-079,BUDAPEST,Budapest III. kerület,10,11,10
01-003-080,BUDAPEST,Budapest III. kerület,10,11,10
01-003-081,BUDAPEST,Budapest III. kerület,10,11,10
01-003-082,BUDAPEST,Budapest III. kerület,10,11,10
01-003-083,BUDAPEST,Budapest III. kerület,10,11,10
01-003-084,BUDAPEST,Budapest III. kerület,10,11,10
01-003-085,BUDAPEST,Budapest III. kerület,10,11,10
01-003-086,BUDAPEST,Budapest III. kerület,10,11,10
01-003-087,BUDAPEST,Budapest III. kerület,10,11,10
01-003-088,BUDAPEST,Budapest III. kerület,10,11,10
01-003-089,BUDAPEST,Budapest III. kerület,10,11,10
01-003-090,BUDAPEST,Budapest III. kerület,10,11,10
01-003-091,BUDAPEST,Budapest III. kerület,10,11,10
01-003-092,BUDAPEST,Budapest III. kerület,10,11,10
01-003-093,BUDAPEST,Budapest III. kerület,10,11,10
01-003-094,BUDAPEST,Budapest III. kerület,10,11,10
01-003-095,BUDAPEST,Budapest III. kerület,10,11,10
01-003-096,BUDAPEST,Budapest III. kerület,10,11,10
01-003-097,BUDAPEST,Budapest III. kerület,10,11,10
01-003-098,BUDAPEST,Budapest III. kerület,10,11,10
01-003-099,BUDAPEST,Budapest III. kerület,10,11,10
01-003-100,BUDAPEST,Budapest III. kerület,10,11,10
01-003-101,BUDAPEST,Budapest III. kerület,10,11,10
01-003-102,BUDAPEST,Budapest III. kerület,10,11,10
01-003-103,BUDAPEST,Budapest III. kerület,10,11,10
01-003-104,BUDAPEST,Budapest III. kerület,10,11,10
01-003-105,BUDAPEST,Budapest III. kerület,10,11,10
01-003-106,BUDAPEST,Budapest III. kerület,10,11,10
01-003-107,BUDAPEST,Budapest III. kerület,10,11,10
01-003-108,BUDAPEST,Budapest III. kerület,10,11,10
01-003-109,BUDAPEST,Budapest III. kerület,10,11,10
01-003-110,BUDAPEST,Budapest III. kerület,10,11,10
01-003-111,BUDAPEST,Budapest III. kerület,10,11,10
01-003-112,BUDAPEST,Budapest III. kerület,10,11,10
01-003-200,BUDAPEST,Budapest III. kerület,,,
01-004-001,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-002,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-003,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-004,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-005,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-006,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-007,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-008,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-009,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-010,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-011,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-012,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-013,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-014,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-015,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-016,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-017,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-018,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-019,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-020,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-021,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-022,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-023,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-024,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-025,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-026,BUDAPEST,Budapest IV. kerület,11,13,11
01-004-027,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-028,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-029,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-030,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-031,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-032,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-033,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-034,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-035,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-036,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-037,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-038,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-039,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-040,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-041,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-042,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-043,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-044,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-045,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-046,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-047,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-048,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-049,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-050,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-051,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-052,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-053,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-054,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-055,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-056,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-057,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-058,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-059,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-060,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-061,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-062,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-063,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-064,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-065,BUDAPEST,Budapest IV. kerület,11,12,11
01-004-066,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-067,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-068,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-069,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-070,BUDAPEST,Budapest IV. kerület,12,12,12
01-004-080,BUDAPEST,Budapest IV. kerület,,,
01-005-001,BUDAPEST,Budapest V. kerület,01,02,01
01-005-002,BUDAPEST,Budapest V. kerület,01,01,01
01-005-003,BUDAPEST,Budapest V. kerület,01,02,01
01-005-004,BUDAPEST,Budapest V. kerület,01,02,01
01-005-005,BUDAPEST,Budapest V. kerület,01,02,01
01-005-006,BUDAPEST,Budapest V. kerület,01,02,01
01-005-007,BUDAPEST,Budapest V. kerület,01,01,01
01-005-008,BUDAPEST,Budapest V. kerület,01,01,01
01-005-009,BUDAPEST,Budapest V. kerület,01,01,01
01-005-010,BUDAPEST,Budapest V. kerület,01,01,01
01-005-011,BUDAPEST,Budapest V. kerület,01,01,01
01-005-012,BUDAPEST,Budapest V. kerület,01,01,01
01-005-013,BUDAPEST,Budapest V. kerület,01,01,01
01-005-014,BUDAPEST,Budapest V. kerület,01,01,01
01-005-015,BUDAPEST,Budapest V. kerület,01,01,01
01-005-016,BUDAPEST,Budapest V. kerület,01,01,01
01-005-017,BUDAPEST,Budapest V. kerület,,,
01-006-001,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-002,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-003,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-004,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-005,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-006,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-007,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-008,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-009,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-010,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-011,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-012,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-013,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-014,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-015,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-016,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-017,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-018,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-019,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-020,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-021,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-022,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-023,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-024,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-025,BUDAPEST,Budapest VI. kerület,05,01,05
01-006-026,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-027,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-028,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-029,BUDAPEST,Budapest VI. kerület,05,05,05
01-006-030,BUDAPEST,Budapest VI. kerület,05,05,05
01-007-001,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-002,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-003,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-004,BUDAPEST,Budapest VII. kerület,05,02,05
01-007-005,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-006,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-007,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-008,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-009,BUDAPEST,Budapest VII. kerület,05,01,05
01-007-010,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-011,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-012,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-013,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-014,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-015,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-016,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-017,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-018,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-019,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-020,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-021,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-022,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-023,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-024,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-025,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-026,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-027,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-028,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-029,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-030,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-031,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-032,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-033,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-034,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-035,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-036,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-037,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-038,BUDAPEST,Budapest VII. kerület,05,06,05
01-007-039,BUDAPEST,Budapest VII. kerület,,,
01-008-001,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-002,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-003,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-004,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-005,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-006,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-007,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-008,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-009,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-010,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-011,BUDAPEST,Budapest VIII. kerület,01,02,01
01-008-012,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-013,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-014,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-015,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-016,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-017,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-018,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-019,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-020,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-021,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-022,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-023,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-024,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-025,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-026,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-027,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-028,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-029,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-030,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-031,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-032,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-033,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-034,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-035,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-036,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-037,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-038,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-039,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-040,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-041,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-042,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-043,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-044,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-045,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-046,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-047,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-048,BUDAPEST,Budapest VIII. kerület,06,02,06
01-008-049,BUDAPEST,Budapest VIII. kerület,06,07,06
01-008-050,BUDAPEST,Budapest VIII. kerület,06,07,06
01-008-051,BUDAPEST,Budapest VIII. kerület,06,07,06
01-009-001,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-002,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-003,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-004,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-005,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-006,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-007,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-008,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-009,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-010,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-011,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-012,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-013,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-014,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-015,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-016,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-017,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-018,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-019,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-020,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-021,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-022,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-023,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-024,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-025,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-026,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-027,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-028,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-029,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-030,BUDAPEST,Budapest IX. kerület,01,02,01
01-009-031,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-032,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-033,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-034,BUDAPEST,Budapest IX. kerület,06,02,06
01-009-035,BUDAPEST,Budapest IX. kerület,06,09,06
01-009-036,BUDAPEST,Budapest IX. kerület,06,09,06
01-009-037,BUDAPEST,Budapest IX. kerület,06,09,06
01-009-038,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-039,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-040,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-041,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-042,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-043,BUDAPEST,Budapest IX. kerület,06,08,06
01-009-044,BUDAPEST,Budapest IX. kerület,06,08,06
