JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
42505,01-001-001,1001,845,843,-2,5,838,EGYENI,,
42507,01-001-002,976,796,793,-3,7,786,EGYENI,,
42509,01-001-003,1030,677,675,-2,5,670,EGYENI,,
42511,01-001-004,946,722,720,-2,12,708,EGYENI,,
42513,01-001-005,917,740,739,-1,7,732,EGYENI,,
42515,01-001-006,1007,822,819,-3,6,813,EGYENI,,
42517,01-001-007,917,727,725,-2,7,718,EGYENI,,
42519,01-001-008,886,711,710,-1,4,706,EGYENI,,
42521,01-001-009,1030,822,821,-1,9,812,EGYENI,,
42523,01-001-010,934,761,761,0,3,758,EGYENI,,
42525,01-001-011,979,802,800,-2,7,793,EGYENI,,
49549,01-001-012,1026,815,814,-1,7,807,EGYENI,,
49551,01-001-013,1074,857,853,-4,8,845,EGYENI,,
49553,01-001-014,987,799,799,0,8,791,EGYENI,,
49555,01-001-015,964,764,764,0,3,761,EGYENI,,
49557,01-001-016,910,756,756,0,7,749,EGYENI,,
49559,01-001-017,1036,827,827,0,6,821,EGYENI,,
49561,01-001-018,1023,818,810,-8,2,808,EGYENI,,
49563,01-001-019,981,786,785,-1,5,780,EGYENI,,
49565,01-001-020,937,747,745,-2,8,737,EGYENI,,
49567,01-002-001,1072,845,844,-1,7,837,EGYENI,,
49569,01-002-002,932,725,725,0,2,723,EGYENI,,
49571,01-002-003,660,510,510,0,2,508,EGYENI,,
49573,01-002-004,1008,782,782,0,4,778,EGYENI,,
49575,01-002-005,1070,858,858,0,7,851,EGYENI,,
49577,01-002-006,899,744,743,-1,4,739,EGYENI,,
49579,01-002-007,811,688,686,-2,0,686,EGYENI,,
49581,01-002-008,908,748,748,0,2,746,EGYENI,,
49583,01-002-009,837,685,684,-1,5,679,EGYENI,,
49585,01-002-010,4025,3656,3645,-11,23,3622,EGYENI,,
49587,01-002-011,896,525,522,-3,4,518,EGYENI,,
49589,01-002-012,998,850,847,-3,6,841,EGYENI,,
49591,01-002-013,670,542,542,0,3,539,EGYENI,,
49593,01-002-014,862,686,684,-2,5,679,EGYENI,,
49595,01-002-015,774,655,651,-4,4,647,EGYENI,,
49597,01-002-016,886,736,735,-1,1,734,EGYENI,,
49599,01-002-017,835,701,701,0,5,696,EGYENI,,
49601,01-002-018,764,641,641,0,4,637,EGYENI,,
49603,01-002-019,834,694,694,0,4,690,EGYENI,,
49605,01-002-020,819,678,673,-5,2,671,EGYENI,,
49607,01-002-021,865,678,677,-1,3,674,EGYENI,,
49609,01-002-022,835,706,706,0,4,702,EGYENI,,
49611,01-002-023,882,749,748,-1,1,747,EGYENI,,
49613,01-002-024,963,775,775,0,3,772,EGYENI,,
49615,01-002-025,820,679,678,-1,2,676,EGYENI,,
49617,01-002-026,865,762,761,-1,3,758,EGYENI,,
49619,01-002-027,759,612,612,0,1,611,EGYENI,,
49621,01-002-028,706,588,588,0,4,584,EGYENI,,
49623,01-002-029,509,404,404,0,0,404,EGYENI,,
49625,01-002-030,606,486,486,0,2,484,EGYENI,,
49627,01-002-031,1151,921,921,0,20,901,EGYENI,,
49629,01-002-032,948,783,783,0,3,780,EGYENI,,
49631,01-002-033,834,715,715,0,2,713,EGYENI,,
49633,01-002-034,750,569,568,-1,2,566,EGYENI,,
49635,01-002-035,877,727,726,-1,3,723,EGYENI,,
49637,01-002-036,869,732,731,-1,3,728,EGYENI,,
49639,01-002-037,864,720,718,-2,9,709,EGYENI,,
49641,01-002-038,986,824,823,-1,4,819,EGYENI,,
49643,01-002-039,836,707,707,0,4,703,EGYENI,,
49645,01-002-040,844,686,685,-1,2,683,EGYENI,,
49647,01-002-041,794,644,643,-1,2,641,EGYENI,,
49649,01-002-042,760,618,618,0,2,616,EGYENI,,
49651,01-002-043,777,649,645,-4,5,640,EGYENI,,
49653,01-002-044,910,791,779,-12,2,777,EGYENI,,
49655,01-002-045,861,693,691,-2,3,688,EGYENI,,
49657,01-002-046,906,775,774,-1,4,770,EGYENI,,
49659,01-002-047,888,747,746,-1,4,742,EGYENI,,
49661,01-002-048,926,772,770,-2,1,769,EGYENI,,
49663,01-002-049,885,713,712,-1,2,710,EGYENI,,
49665,01-002-050,815,661,661,0,5,656,EGYENI,,
49667,01-002-051,772,650,647,-3,2,645,EGYENI,,
49669,01-002-052,680,543,543,0,3,540,EGYENI,,
49671,01-002-053,710,602,602,0,5,597,EGYENI,,
49673,01-002-054,1075,852,852,0,9,843,EGYENI,,
49675,01-002-055,908,728,726,-2,8,718,EGYENI,,
49677,01-002-056,798,637,635,-2,3,632,EGYENI,,
49679,01-002-057,715,607,606,-1,4,602,EGYENI,,
49681,01-002-058,929,718,716,-2,7,709,EGYENI,,
49683,01-002-059,788,651,650,-1,3,647,EGYENI,,
50065,01-002-060,789,626,625,-1,9,616,EGYENI,,
50067,01-002-061,894,747,747,0,4,743,EGYENI,,
50069,01-002-062,663,519,517,-2,6,511,EGYENI,,
50071,01-002-063,807,655,653,-2,3,650,EGYENI,,
50073,01-002-064,878,697,696,-1,7,689,EGYENI,,
50075,01-002-065,905,694,693,-1,6,687,EGYENI,,
50077,01-002-066,1002,785,782,-3,9,773,EGYENI,,
50079,01-002-067,860,627,624,-3,6,618,EGYENI,,
50081,01-002-068,878,686,682,-4,11,671,EGYENI,,
50083,01-002-069,945,709,709,0,8,701,EGYENI,,
50085,01-002-070,844,672,671,-1,8,663,EGYENI,,
50087,01-002-071,853,704,703,-1,0,703,EGYENI,,
50089,01-002-072,962,760,760,0,11,749,EGYENI,,
50091,01-002-073,969,771,771,0,11,760,EGYENI,,
50093,01-002-074,801,598,598,0,5,593,EGYENI,,
50095,01-003-001,919,741,740,-1,9,731,EGYENI,,
50097,01-003-002,871,683,683,0,2,681,EGYENI,,
50099,01-003-003,956,749,747,-2,7,740,EGYENI,,
50101,01-003-004,958,759,758,-1,4,754,EGYENI,,
50103,01-003-005,853,623,622,-1,7,615,EGYENI,,
50105,01-003-006,975,770,769,-1,2,767,EGYENI,,
50107,01-003-007,916,721,721,0,5,716,EGYENI,,
50109,01-003-008,788,582,582,0,2,580,EGYENI,,
50111,01-003-009,830,652,652,0,5,647,EGYENI,,
50113,01-003-010,843,686,677,-9,3,674,EGYENI,,
50115,01-003-011,989,779,775,-4,3,772,EGYENI,,
50117,01-003-012,938,774,774,0,2,772,EGYENI,,
50119,01-003-013,905,752,750,-2,7,743,EGYENI,,
50121,01-003-014,857,704,703,-1,6,697,EGYENI,,
50123,01-003-015,747,619,619,0,2,617,EGYENI,,
50125,01-003-016,796,672,672,0,3,669,EGYENI,,
50127,01-003-017,826,698,698,0,2,696,EGYENI,,
50129,01-003-018,916,745,745,0,5,740,EGYENI,,
50131,01-003-019,1033,857,854,-3,2,852,EGYENI,,
50133,01-003-020,1013,786,785,-1,2,783,EGYENI,,
50135,01-003-021,784,609,609,0,2,607,EGYENI,,
50137,01-003-022,1022,808,807,-1,4,803,EGYENI,,
50139,01-003-023,829,715,714,-1,1,713,EGYENI,,
50141,01-003-024,793,663,660,-3,5,655,EGYENI,,
50143,01-003-025,776,566,564,-2,8,556,EGYENI,,
50145,01-003-026,778,613,613,0,4,609,EGYENI,,
50147,01-003-027,843,701,699,-2,3,696,EGYENI,,
50149,01-003-028,867,690,690,0,7,683,EGYENI,,
50151,01-003-029,865,677,677,0,8,669,EGYENI,,
50153,01-003-030,909,741,740,-1,2,738,EGYENI,,
50155,01-003-031,870,646,646,0,5,641,EGYENI,,
50157,01-003-032,984,778,777,-1,8,769,EGYENI,,
50159,01-003-033,871,686,680,-6,6,674,EGYENI,,
50161,01-003-034,813,620,620,0,2,618,EGYENI,,
50163,01-003-035,821,605,605,0,10,595,EGYENI,,
50165,01-003-036,815,647,647,0,4,643,EGYENI,,
50167,01-003-037,911,752,752,0,11,741,EGYENI,,
50169,01-003-038,778,605,605,0,6,599,EGYENI,,
50171,01-003-039,811,661,661,0,6,655,EGYENI,,
50173,01-003-040,735,556,556,0,9,547,EGYENI,,
50175,01-003-041,829,617,618,1,19,599,EGYENI,,
50177,01-003-042,717,343,340,-3,3,337,EGYENI,,
50179,01-003-043,1062,799,789,-10,5,784,EGYENI,,
50181,01-003-044,1019,809,805,-4,10,795,EGYENI,,
50183,01-003-045,942,702,701,-1,2,699,EGYENI,,
50185,01-003-046,1053,809,806,-3,7,799,EGYENI,,
50187,01-003-047,2952,2647,2651,4,78,2573,EGYENI,,
50189,01-003-048,818,597,591,-6,6,585,EGYENI,,
50191,01-003-049,868,687,687,0,9,678,EGYENI,,
50193,01-003-050,846,679,678,-1,11,667,EGYENI,,
50195,01-003-051,789,607,607,0,5,602,EGYENI,,
50197,01-003-052,872,699,699,0,6,693,EGYENI,,
50199,01-003-053,710,591,591,0,7,584,EGYENI,,
50581,01-003-054,908,731,730,-1,6,724,EGYENI,,
50583,01-003-055,865,667,666,-1,4,662,EGYENI,,
50585,01-003-056,839,645,644,-1,4,640,EGYENI,,
50587,01-003-057,943,704,704,0,6,698,EGYENI,,
50589,01-003-058,817,604,603,-1,8,595,EGYENI,,
50591,01-003-059,764,671,669,-2,4,665,EGYENI,,
50593,01-003-060,848,669,669,0,6,663,EGYENI,,
50595,01-003-061,866,690,690,0,6,684,EGYENI,,
50597,01-003-062,884,618,616,-2,2,614,EGYENI,,
50599,01-003-063,874,637,634,-3,10,624,EGYENI,,
50601,01-003-064,733,569,567,-2,0,567,EGYENI,,
50603,01-003-065,982,814,805,-9,4,801,EGYENI,,
50605,01-003-066,831,648,645,-3,5,640,EGYENI,,
50607,01-003-067,821,648,647,-1,4,643,EGYENI,,
50609,01-003-068,791,650,650,0,5,645,EGYENI,,
50611,01-003-069,799,649,649,0,3,646,EGYENI,,
50613,01-003-070,871,698,697,-1,4,693,EGYENI,,
50615,01-003-071,917,744,744,0,3,741,EGYENI,,
50617,01-003-072,921,756,756,0,4,752,EGYENI,,
50619,01-003-073,862,727,727,0,6,721,EGYENI,,
50621,01-003-074,891,774,774,0,6,768,EGYENI,,
50623,01-003-075,746,642,640,-2,4,636,EGYENI,,
50625,01-003-076,970,810,809,-1,5,804,EGYENI,,
50627,01-003-077,874,725,724,-1,4,720,EGYENI,,
50629,01-003-078,828,690,689,-1,4,685,EGYENI,,
50631,01-003-079,913,752,752,0,6,746,EGYENI,,
50633,01-003-080,840,694,694,0,3,691,EGYENI,,
50635,01-003-081,899,760,758,-2,5,753,EGYENI,,
50637,01-003-082,998,834,834,0,8,826,EGYENI,,
50639,01-003-083,979,836,836,0,3,833,EGYENI,,
50641,01-003-084,883,725,724,-1,1,723,EGYENI,,
50643,01-003-085,824,645,643,-2,5,638,EGYENI,,
50645,01-003-086,834,590,590,0,6,584,EGYENI,,
50647,01-003-087,921,676,676,0,7,669,EGYENI,,
50649,01-003-088,889,687,685,-2,2,683,EGYENI,,
50651,01-003-089,993,739,738,-1,7,731,EGYENI,,
50653,01-003-090,847,596,596,0,4,592,EGYENI,,
50655,01-003-091,809,618,618,0,5,613,EGYENI,,
50657,01-003-092,1028,743,743,0,10,733,EGYENI,,
50659,01-003-093,911,708,708,0,4,704,EGYENI,,
50661,01-003-094,818,611,605,-6,7,598,EGYENI,,
50663,01-003-095,828,590,590,0,4,586,EGYENI,,
50665,01-003-096,987,719,718,-1,7,711,EGYENI,,
50667,01-003-097,1019,734,734,0,5,729,EGYENI,,
50669,01-003-098,738,506,506,0,3,503,EGYENI,,
50671,01-003-099,967,710,709,-1,1,708,EGYENI,,
50673,01-003-100,884,587,587,0,4,583,EGYENI,,
50675,01-003-101,917,582,582,0,8,574,EGYENI,,
50677,01-003-102,899,641,639,-2,6,633,EGYENI,,
50679,01-003-103,857,656,656,0,3,653,EGYENI,,
50681,01-003-104,804,574,572,-2,7,565,EGYENI,,
50683,01-003-105,776,577,576,-1,5,571,EGYENI,,
50685,01-003-106,850,668,666,-2,7,659,EGYENI,,
50687,01-003-107,805,601,601,0,3,598,EGYENI,,
50689,01-003-108,878,653,653,0,2,651,EGYENI,,
50691,01-003-109,837,624,624,0,4,620,EGYENI,,
50693,01-003-110,821,617,611,-6,11,600,EGYENI,,
50695,01-003-111,782,553,552,-1,4,548,EGYENI,,
50697,01-003-112,850,603,604,1,11,593,EGYENI,,
50699,01-004-001,1157,987,987,0,3,984,EGYENI,,
50701,01-004-002,1135,883,883,0,9,874,EGYENI,,
50703,01-004-003,1161,946,946,0,4,942,EGYENI,,
50705,01-004-004,1261,1057,1057,0,4,1053,EGYENI,,
50707,01-004-005,1235,923,922,-1,7,915,EGYENI,,
50709,01-004-006,1285,1053,1051,-2,4,1047,EGYENI,,
42663,01-004-007,1264,929,929,0,5,924,EGYENI,,
42665,01-004-008,1032,790,790,0,5,785,EGYENI,,
42667,01-004-009,1043,794,792,-2,7,785,EGYENI,,
42669,01-004-010,1181,927,927,0,3,924,EGYENI,,
42671,01-004-011,989,782,782,0,0,782,EGYENI,,
42673,01-004-012,1068,759,759,0,5,754,EGYENI,,
42675,01-004-013,1046,739,738,-1,5,733,EGYENI,,
42677,01-004-014,1036,820,819,-1,3,816,EGYENI,,
42679,01-004-015,945,718,717,-1,2,715,EGYENI,,
42681,01-004-016,1036,812,812,0,0,812,EGYENI,,
42683,01-004-017,1073,908,907,-1,2,905,EGYENI,,
42685,01-004-018,1072,872,872,0,6,866,EGYENI,,
42687,01-004-019,1006,685,685,0,5,680,EGYENI,,
42689,01-004-020,1009,772,772,0,7,765,EGYENI,,
42691,01-004-021,1090,887,887,0,5,882,EGYENI,,
42693,01-004-022,1088,877,877,0,4,873,EGYENI,,
42695,01-004-023,1063,865,866,1,19,847,EGYENI,,
42697,01-004-024,1093,821,821,0,6,815,EGYENI,,
42699,01-004-025,1053,788,787,-1,5,782,EGYENI,,
42701,01-004-026,1112,924,923,-1,2,921,EGYENI,,
42703,01-004-027,1124,910,910,0,4,906,EGYENI,,
42705,01-004-028,1098,895,894,-1,3,891,EGYENI,,
42707,01-004-029,1114,857,857,0,5,852,EGYENI,,
42709,01-004-030,1115,786,785,-1,5,780,EGYENI,,
42711,01-004-031,999,628,627,-1,8,619,EGYENI,,
42713,01-004-032,961,726,725,-1,4,721,EGYENI,,
42715,01-004-033,990,681,681,0,12,669,EGYENI,,
42717,01-004-034,1008,595,595,0,7,588,EGYENI,,
42719,01-004-035,1129,673,673,0,8,665,EGYENI,,
42721,01-004-036,1025,670,670,0,3,667,EGYENI,,
42723,01-004-037,1010,682,681,-1,5,676,EGYENI,,
42725,01-004-038,1076,756,755,-1,1,754,EGYENI,,
42727,01-004-039,984,786,785,-1,3,782,EGYENI,,
42729,01-004-040,942,667,667,0,7,660,EGYENI,,
42731,01-004-041,1060,829,829,0,6,823,EGYENI,,
42733,01-004-042,895,674,674,0,2,672,EGYENI,,
42735,01-004-043,1123,853,853,0,6,847,EGYENI,,
42737,01-004-044,1120,807,807,0,7,800,EGYENI,,
42739,01-004-045,1085,835,835,0,6,829,EGYENI,,
42741,01-004-046,1220,970,968,-2,9,959,EGYENI,,
42743,01-004-047,1000,772,773,1,11,762,EGYENI,,
42745,01-004-048,1053,769,769,0,3,766,EGYENI,,
42747,01-004-049,1249,897,900,3,27,873,EGYENI,,
42749,01-004-050,1274,938,936,-2,5,931,EGYENI,,
42751,01-004-051,1177,701,702,1,20,682,EGYENI,,
42753,01-004-052,963,714,717,3,38,679,EGYENI,,
42755,01-004-053,890,642,642,0,7,635,EGYENI,,
42757,01-004-054,1108,821,821,0,5,816,EGYENI,,
42759,01-004-055,1119,822,822,0,3,819,EGYENI,,
42761,01-004-056,1037,788,778,-10,4,774,EGYENI,,
42763,01-004-057,975,735,735,0,6,729,EGYENI,,
42765,01-004-058,1272,921,921,0,2,919,EGYENI,,
42767,01-004-059,1017,711,710,-1,5,705,EGYENI,,
42769,01-004-060,1146,803,803,0,3,800,EGYENI,,
42771,01-004-061,1176,839,838,-1,3,835,EGYENI,,
42773,01-004-062,986,683,680,-3,6,674,EGYENI,,
42775,01-004-063,1325,787,778,-9,7,771,EGYENI,,
42777,01-004-064,3424,2962,2958,-4,30,2928,EGYENI,,
42779,01-004-065,1020,732,730,-2,6,724,EGYENI,,
42781,01-004-066,1146,843,841,-2,13,828,EGYENI,,
42783,01-004-067,1106,824,824,0,11,813,EGYENI,,
43175,01-004-068,1136,799,800,1,17,783,EGYENI,,
43177,01-004-069,1195,855,855,0,8,847,EGYENI,,
43179,01-004-070,1115,796,796,0,4,792,EGYENI,,
43181,01-005-001,869,642,640,-2,9,631,EGYENI,,
43183,01-005-002,770,554,553,-1,6,547,EGYENI,,
43185,01-005-003,717,542,541,-1,9,532,EGYENI,,
43187,01-005-004,885,702,702,0,9,693,EGYENI,,
43189,01-005-005,922,676,673,-3,8,665,EGYENI,,
43191,01-005-006,782,585,584,-1,6,578,EGYENI,,
43193,01-005-007,847,618,617,-1,5,612,EGYENI,,
