JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
43195,01-005-008,4931,4371,4364,-7,82,4282,EGYENI,,
43197,01-005-009,887,680,674,-6,13,661,EGYENI,,
43199,01-005-010,524,377,377,0,7,370,EGYENI,,
43201,01-005-011,682,430,429,-1,15,414,EGYENI,,
43203,01-005-012,956,712,712,0,13,699,EGYENI,,
43205,01-005-013,898,668,667,-1,3,664,EGYENI,,
43207,01-005-014,958,712,712,0,8,704,EGYENI,,
43209,01-005-015,869,651,651,0,15,636,EGYENI,,
43211,01-005-016,820,611,610,-1,9,601,EGYENI,,
43213,01-005-017,792,606,606,0,9,597,EGYENI,,
43215,01-005-018,836,641,641,0,13,628,EGYENI,,
43217,01-005-019,853,673,673,0,8,665,EGYENI,,
43219,01-005-020,946,722,721,-1,10,711,EGYENI,,
43221,01-005-021,951,714,709,-5,3,706,EGYENI,,
43223,01-006-001,818,574,574,0,5,569,EGYENI,,
43225,01-006-002,669,450,450,0,1,449,EGYENI,,
43227,01-006-003,737,510,510,0,6,504,EGYENI,,
43229,01-006-004,782,544,544,0,8,536,EGYENI,,
43231,01-006-005,831,567,567,0,1,566,EGYENI,,
43233,01-006-006,704,463,464,1,10,454,EGYENI,,
43235,01-006-007,755,498,498,0,8,490,EGYENI,,
43237,01-006-008,672,457,457,0,0,457,EGYENI,,
43239,01-006-009,729,475,474,-1,4,470,EGYENI,,
43241,01-006-010,717,503,503,0,1,502,EGYENI,,
43243,01-006-011,747,539,537,-2,7,530,EGYENI,,
43245,01-006-012,842,588,586,-2,3,583,EGYENI,,
43247,01-006-013,849,558,558,0,2,556,EGYENI,,
43249,01-006-014,902,611,611,0,5,606,EGYENI,,
43251,01-006-015,919,654,654,0,6,648,EGYENI,,
43253,01-006-016,932,627,626,-1,3,623,EGYENI,,
43255,01-006-017,932,614,614,0,6,608,EGYENI,,
43257,01-006-018,977,664,664,0,4,660,EGYENI,,
43259,01-006-019,1018,697,697,0,9,688,EGYENI,,
43261,01-006-020,790,560,560,0,4,556,EGYENI,,
43263,01-006-021,924,698,698,0,9,689,EGYENI,,
43265,01-006-022,874,590,588,-2,5,583,EGYENI,,
43267,01-006-023,969,700,699,-1,5,694,EGYENI,,
43269,01-006-024,903,649,649,0,3,646,EGYENI,,
43271,01-006-025,662,494,494,0,3,491,EGYENI,,
43273,01-006-026,762,450,451,1,7,444,EGYENI,,
43275,01-006-027,928,672,671,-1,2,669,EGYENI,,
43277,01-006-028,790,580,580,0,6,574,EGYENI,,
43279,01-006-029,938,705,705,0,6,699,EGYENI,,
43281,01-006-030,768,579,577,-2,3,574,EGYENI,,
43283,01-007-001,711,489,489,0,3,486,EGYENI,,
43285,01-007-002,696,404,402,-2,4,398,EGYENI,,
43287,01-007-003,848,496,496,0,1,495,EGYENI,,
43289,01-007-004,713,443,443,0,7,436,EGYENI,,
43291,01-007-005,993,674,672,-2,9,663,EGYENI,,
43293,01-007-006,970,682,682,0,5,677,EGYENI,,
43295,01-007-007,964,621,619,-2,2,617,EGYENI,,
43297,01-007-008,881,592,592,0,7,585,EGYENI,,
43299,01-007-009,754,464,463,-1,6,457,EGYENI,,
43301,01-007-010,811,346,346,0,0,346,EGYENI,,
43303,01-007-011,4384,3871,3859,-12,32,3827,EGYENI,,
43305,01-007-012,1008,659,658,-1,6,652,EGYENI,,
43307,01-007-013,930,616,616,0,5,611,EGYENI,,
43309,01-007-014,1121,816,815,-1,7,808,EGYENI,,
43311,01-007-015,921,610,610,0,2,608,EGYENI,,
43313,01-007-016,1099,775,775,0,10,765,EGYENI,,
43315,01-007-017,1023,729,725,-4,9,716,EGYENI,,
43317,01-007-018,961,683,681,-2,3,678,EGYENI,,
43711,01-007-019,956,662,662,0,2,660,EGYENI,,
43713,01-007-020,962,688,688,0,6,682,EGYENI,,
43715,01-007-021,978,700,698,-2,5,693,EGYENI,,
43717,01-007-022,931,679,679,0,11,668,EGYENI,,
43719,01-007-023,1013,688,688,0,4,684,EGYENI,,
43721,01-007-024,1115,822,819,-3,9,810,EGYENI,,
43723,01-007-025,1163,881,881,0,5,876,EGYENI,,
43725,01-007-026,1046,703,703,0,11,692,EGYENI,,
43727,01-007-027,1014,735,735,0,6,729,EGYENI,,
43729,01-007-028,1003,723,722,-1,9,713,EGYENI,,
43731,01-007-029,1052,712,712,0,17,695,EGYENI,,
43733,01-007-030,1062,672,672,0,9,663,EGYENI,,
43735,01-007-031,1078,707,705,-2,5,700,EGYENI,,
43737,01-007-032,1128,693,691,-2,7,684,EGYENI,,
43739,01-007-033,1157,808,806,-2,11,795,EGYENI,,
43741,01-007-034,1079,704,703,-1,11,692,EGYENI,,
43743,01-007-035,1111,782,775,-7,5,770,EGYENI,,
43745,01-007-036,885,549,549,0,9,540,EGYENI,,
43747,01-007-037,948,614,613,-1,10,603,EGYENI,,
43749,01-007-038,988,637,637,0,4,633,EGYENI,,
43751,01-008-001,770,559,558,-1,14,544,EGYENI,,
43753,01-008-002,747,541,541,0,7,534,EGYENI,,
43755,01-008-003,713,536,536,0,11,525,EGYENI,,
43757,01-008-004,652,476,476,0,11,465,EGYENI,,
43759,01-008-005,772,551,551,0,18,533,EGYENI,,
43761,01-008-006,654,482,482,0,17,465,EGYENI,,
43763,01-008-007,986,697,697,0,3,694,EGYENI,,
43765,01-008-008,1322,426,426,0,1,425,EGYENI,,
43767,01-008-009,889,668,668,0,16,652,EGYENI,,
43769,01-008-010,756,571,568,-3,19,549,EGYENI,,
43771,01-008-011,1043,751,749,-2,21,728,EGYENI,,
43773,01-008-012,724,439,439,0,4,435,EGYENI,,
43775,01-008-013,1046,629,625,-4,3,622,EGYENI,,
43777,01-008-014,1091,749,747,-2,1,746,EGYENI,,
43779,01-008-015,938,553,553,0,5,548,EGYENI,,
43781,01-008-016,1033,709,707,-2,4,703,EGYENI,,
43783,01-008-017,1014,726,725,-1,4,721,EGYENI,,
43785,01-008-018,773,544,544,0,6,538,EGYENI,,
43787,01-008-019,874,557,557,0,3,554,EGYENI,,
43789,01-008-020,1052,595,594,-1,6,588,EGYENI,,
43791,01-008-021,937,576,576,0,1,575,EGYENI,,
43793,01-008-022,748,435,435,0,4,431,EGYENI,,
43795,01-008-023,661,415,415,0,3,412,EGYENI,,
43797,01-008-024,904,576,575,-1,5,570,EGYENI,,
43799,01-008-025,757,509,508,-1,1,507,EGYENI,,
43801,01-008-026,780,515,515,0,4,511,EGYENI,,
43803,01-008-027,864,527,527,0,2,525,EGYENI,,
43805,01-008-028,659,409,409,0,3,406,EGYENI,,
43807,01-008-029,959,558,558,0,4,554,EGYENI,,
43809,01-008-030,1021,527,527,0,6,521,EGYENI,,
43811,01-008-031,1191,361,361,0,4,357,EGYENI,,
43813,01-008-032,970,529,527,-2,3,524,EGYENI,,
43815,01-008-033,604,385,385,0,2,383,EGYENI,,
43817,01-008-034,698,460,460,0,3,457,EGYENI,,
43819,01-008-035,701,411,411,0,5,406,EGYENI,,
43821,01-008-036,720,547,545,-2,1,544,EGYENI,,
43823,01-008-037,500,248,248,0,1,247,EGYENI,,
43825,01-008-038,802,565,565,0,5,560,EGYENI,,
43827,01-008-039,748,491,491,0,2,489,EGYENI,,
43829,01-008-040,702,490,490,0,2,488,EGYENI,,
43831,01-008-041,904,602,602,0,1,601,EGYENI,,
43833,01-008-042,1245,682,680,-2,3,677,EGYENI,,
43835,01-008-043,1064,617,617,0,10,607,EGYENI,,
44243,01-008-044,816,369,369,0,7,362,EGYENI,,
44245,01-008-045,740,483,484,1,13,471,EGYENI,,
44247,01-008-046,955,494,494,0,3,491,EGYENI,,
44249,01-008-047,531,372,372,0,0,372,EGYENI,,
44251,01-008-048,1017,516,516,0,10,506,EGYENI,,
44253,01-008-049,1303,803,803,0,4,799,EGYENI,,
44255,01-008-050,1105,532,532,0,6,526,EGYENI,,
44257,01-008-051,777,354,354,0,4,350,EGYENI,,
44259,01-008-052,1076,647,647,0,2,645,EGYENI,,
44261,01-008-053,629,488,487,-1,0,487,EGYENI,,
44263,01-008-054,992,725,725,0,8,717,EGYENI,,
44265,01-008-055,773,475,475,0,5,470,EGYENI,,
44267,01-008-056,1013,727,727,0,3,724,EGYENI,,
44269,01-008-057,605,446,446,0,0,446,EGYENI,,
44271,01-008-058,644,531,531,0,4,527,EGYENI,,
44273,01-008-059,540,375,375,0,3,372,EGYENI,,
44275,01-008-060,3938,3386,3377,-9,25,3352,EGYENI,,
44277,01-009-001,579,425,426,1,15,411,EGYENI,,
44279,01-009-002,645,469,466,-3,7,459,EGYENI,,
44281,01-009-003,610,461,461,0,7,454,EGYENI,,
44283,01-009-004,714,523,523,0,9,514,EGYENI,,
44285,01-009-005,587,415,415,0,3,412,EGYENI,,
44287,01-009-006,824,600,598,-2,12,586,EGYENI,,
44289,01-009-007,599,425,425,0,1,424,EGYENI,,
44291,01-009-008,604,432,432,0,4,428,EGYENI,,
44293,01-009-009,834,481,476,-5,0,476,EGYENI,,
44295,01-009-010,647,494,493,-1,12,481,EGYENI,,
44297,01-009-011,742,569,569,0,11,558,EGYENI,,
44299,01-009-012,686,506,506,0,12,494,EGYENI,,
44301,01-009-013,786,596,594,-2,7,587,EGYENI,,
44303,01-009-014,895,680,680,0,9,671,EGYENI,,
44305,01-009-015,660,505,503,-2,11,492,EGYENI,,
44307,01-009-016,587,385,384,-1,8,376,EGYENI,,
44309,01-009-017,950,753,753,0,14,739,EGYENI,,
44311,01-009-018,773,562,561,-1,12,549,EGYENI,,
44313,01-009-019,905,594,594,0,0,594,EGYENI,,
44315,01-009-020,1044,635,635,0,4,631,EGYENI,,
44317,01-009-021,785,517,517,0,3,514,EGYENI,,
44319,01-009-022,796,574,573,-1,3,570,EGYENI,,
44321,01-009-023,806,471,470,-1,8,462,EGYENI,,
44323,01-009-024,594,397,396,-1,2,394,EGYENI,,
44325,01-009-025,897,659,659,0,2,657,EGYENI,,
44327,01-009-026,742,527,526,-1,6,520,EGYENI,,
44329,01-009-027,745,559,558,-1,3,555,EGYENI,,
44331,01-009-028,711,531,531,0,15,516,EGYENI,,
44333,01-009-029,924,635,635,0,13,622,EGYENI,,
44335,01-009-030,922,651,651,0,14,637,EGYENI,,
44337,01-009-031,742,493,493,0,8,485,EGYENI,,
44339,01-009-032,686,464,464,0,3,461,EGYENI,,
44341,01-009-033,841,593,590,-3,2,588,EGYENI,,
44343,01-009-034,678,466,466,0,5,461,EGYENI,,
44345,01-009-035,752,588,588,0,7,581,EGYENI,,
44347,01-009-036,1081,758,758,0,4,754,EGYENI,,
