JKV_AZONOSITO,SZAVAZOKOR,VALASZTOPOLGAR,MEGJELENTEK,URNABAN_LEVO,ELTERES,ERVENYTELEN,ERVENYES,TIPUS,HATARIDOBEN_BEERKEZETT_SZAVAZASI_IRATOK,ERVENYES_SZAVAZASI_IRATOK,IRATOKBAN_LEVO_SZAVAZOLAP
235638,06-052-005,532,373,373,0,2,371,EGYENI,,,
235640,06-052-006,540,376,376,0,5,371,EGYENI,,,
235642,06-053-001,688,536,535,-1,1,534,EGYENI,,,
235644,06-053-002,550,394,392,-2,4,388,EGYENI,,,
235646,06-053-003,670,498,498,0,4,494,EGYENI,,,
235648,06-053-004,1822,1679,1674,-5,21,1653,EGYENI,,,
235650,06-053-005,200,138,138,0,6,132,EGYENI,,,
235652,06-053-006,851,602,601,-1,9,592,EGYENI,,,
235654,06-053-007,1001,736,736,0,2,734,EGYENI,,,
235656,06-053-008,579,387,387,0,4,383,EGYENI,,,
235658,06-053-009,640,454,453,-1,5,448,EGYENI,,,
235660,06-053-010,763,507,507,0,6,501,EGYENI,,,
235662,06-053-011,121,67,67,0,1,66,EGYENI,,,
235664,06-053-012,152,73,73,0,1,72,EGYENI,,,
235666,06-053-013,89,67,67,0,2,65,EGYENI,,,
235668,06-053-014,846,661,661,0,9,652,EGYENI,,,
235670,06-053-015,909,652,650,-2,17,633,EGYENI,,,
235672,06-053-016,648,446,446,0,10,436,EGYENI,,,
235674,06-053-017,847,605,604,-1,9,595,EGYENI,,,
235676,06-053-018,645,476,480,4,5,475,EGYENI,,,
235678,06-053-019,555,377,377,0,3,374,EGYENI,,,
235680,06-053-020,594,419,418,-1,5,413,EGYENI,,,
235682,06-053-021,809,613,612,-1,4,608,EGYENI,,,
235684,06-053-022,783,560,559,-1,6,553,EGYENI,,,
235686,06-053-023,694,478,476,-2,3,473,EGYENI,,,
235688,06-053-024,580,402,402,0,1,401,EGYENI,,,
235690,06-053-025,907,654,654,0,7,647,EGYENI,,,
235692,06-053-026,863,607,603,-4,6,597,EGYENI,,,
235694,06-053-027,588,410,410,0,3,407,EGYENI,,,
235696,06-053-028,748,502,502,0,3,499,EGYENI,,,
235698,06-053-029,824,558,558,0,6,552,EGYENI,,,
235700,06-053-030,583,446,446,0,7,439,EGYENI,,,
235702,06-053-031,154,104,104,0,5,99,EGYENI,,,
235704,06-053-032,1056,676,675,-1,2,673,EGYENI,,,
235706,06-053-033,669,405,404,-1,10,394,EGYENI,,,
235708,06-053-034,82,59,59,0,2,57,EGYENI,,,
235710,06-053-035,152,104,104,0,1,103,EGYENI,,,
235712,06-054-001,843,625,623,-2,10,613,EGYENI,,,
235714,06-054-002,848,678,677,-1,14,663,EGYENI,,,
235716,06-055-001,687,480,479,-1,3,476,EGYENI,,,
235718,06-055-002,779,539,539,0,8,531,EGYENI,,,
235720,06-056-001,720,476,476,0,2,474,EGYENI,,,
235722,06-056-002,651,374,374,0,5,369,EGYENI,,,
235724,06-057-001,804,588,587,-1,6,581,EGYENI,,,
235726,06-057-002,730,491,490,-1,8,482,EGYENI,,,
235728,06-058-001,823,499,499,0,13,486,EGYENI,,,
235730,06-058-002,889,618,618,0,5,613,EGYENI,,,
235732,06-058-003,832,577,576,-1,2,574,EGYENI,,,
235734,06-059-001,1126,762,761,-1,10,751,EGYENI,,,
235736,06-059-002,1126,777,777,0,13,764,EGYENI,,,
235738,06-060-001,877,629,629,0,5,624,EGYENI,,,
235740,06-060-002,871,607,607,0,6,601,EGYENI,,,
235742,06-060-003,1026,814,809,-5,4,805,EGYENI,,,
235744,07-001-001,1071,614,614,0,6,608,EGYENI,,,
235746,07-001-002,1003,622,622,0,8,614,EGYENI,,,
235748,07-001-003,188,133,133,0,0,133,EGYENI,,,
235750,07-001-004,180,127,127,0,2,125,EGYENI,,,
235752,07-001-005,1165,821,821,0,4,817,EGYENI,,,
235754,07-002-001,1004,657,656,-1,2,654,EGYENI,,,
235756,07-002-002,1190,727,727,0,7,720,EGYENI,,,
235758,07-002-003,1048,755,755,0,11,744,EGYENI,,,
235760,07-003-001,815,513,513,0,7,506,EGYENI,,,
235762,07-003-002,662,425,425,0,5,420,EGYENI,,,
235764,07-004-001,481,377,377,0,5,372,EGYENI,,,
235766,07-004-002,669,502,501,-1,1,500,EGYENI,,,
235768,07-005-001,468,298,298,0,2,296,EGYENI,,,
235770,07-006-001,764,537,536,-1,5,531,EGYENI,,,
235772,07-006-002,861,631,630,-1,5,625,EGYENI,,,
235774,07-006-003,837,600,600,0,2,598,EGYENI,,,
235776,07-007-001,124,96,96,0,1,95,EGYENI,,,
235778,07-008-001,366,237,214,-23,0,214,EGYENI,,,
235780,07-008-002,377,266,266,0,6,260,EGYENI,,,
235782,07-009-001,718,467,466,-1,7,459,EGYENI,,,
235784,07-009-002,655,412,412,0,3,409,EGYENI,,,
235786,07-009-003,806,577,577,0,4,573,EGYENI,,,
235788,07-009-004,730,473,473,0,3,470,EGYENI,,,
235790,07-010-001,1196,838,838,0,8,830,EGYENI,,,
235792,07-010-002,947,634,634,0,5,629,EGYENI,,,
235794,07-010-003,115,79,79,0,0,79,EGYENI,,,
235796,07-011-001,870,603,589,-14,11,578,EGYENI,,,
235798,07-012-001,685,466,466,0,6,460,EGYENI,,,
235800,07-012-002,777,527,526,-1,8,518,EGYENI,,,
235802,07-013-001,1108,878,878,0,12,866,EGYENI,,,
235804,07-013-002,1173,750,747,-3,4,743,EGYENI,,,
235806,07-013-003,1090,780,778,-2,7,771,EGYENI,,,
235808,07-013-004,1186,808,798,-10,14,784,EGYENI,,,
235810,07-013-005,985,737,737,0,3,734,EGYENI,,,
235812,07-013-006,1073,807,807,0,4,803,EGYENI,,,
235814,07-013-007,1130,849,849,0,7,842,EGYENI,,,
235816,07-013-008,3163,2629,2614,-15,19,2595,EGYENI,,,
235819,07-014-001,734,526,525,-1,4,521,EGYENI,,,
235821,07-014-002,734,526,526,0,6,520,EGYENI,,,
235822,07-014-003,717,543,543,0,7,536,EGYENI,,,
235824,07-014-004,944,705,702,-3,3,699,EGYENI,,,
235826,07-015-001,205,166,166,0,0,166,EGYENI,,,
235828,07-016-001,719,501,501,0,2,499,EGYENI,,,
235830,07-016-002,617,392,392,0,13,379,EGYENI,,,
235832,07-016-003,689,452,452,0,6,446,EGYENI,,,
235834,07-017-001,810,627,626,-1,6,620,EGYENI,,,
235836,07-017-002,170,139,139,0,6,133,EGYENI,,,
235838,07-018-001,929,725,727,2,14,713,EGYENI,,,
235840,07-019-001,921,690,690,0,5,685,EGYENI,,,
235842,07-019-002,694,511,511,0,19,492,EGYENI,,,
235844,07-019-003,913,660,658,-2,6,652,EGYENI,,,
235846,07-019-004,968,649,648,-1,8,640,EGYENI,,,
235848,07-019-005,804,540,540,0,3,537,EGYENI,,,
235850,07-020-001,1219,921,920,-1,9,911,EGYENI,,,
235852,07-021-001,817,574,575,1,10,565,EGYENI,,,
235854,07-021-002,695,469,469,0,4,465,EGYENI,,,
235856,07-022-001,785,500,500,0,11,489,EGYENI,,,
235858,07-023-001,820,477,477,0,5,472,EGYENI,,,
235860,07-023-002,858,506,506,0,6,500,EGYENI,,,
235862,07-024-001,859,591,591,0,10,581,EGYENI,,,
235864,07-024-002,835,542,542,0,7,535,EGYENI,,,
235866,07-024-003,452,326,325,-1,6,319,EGYENI,,,
235868,07-024-004,695,482,482,0,6,476,EGYENI,,,
235870,07-024-005,859,377,377,0,5,372,EGYENI,,,
235872,07-024-006,487,364,363,-1,6,357,EGYENI,,,
235874,07-024-007,589,415,411,-4,9,402,EGYENI,,,
235876,07-024-008,535,356,357,1,8,349,EGYENI,,,
235878,07-024-009,679,439,440,1,13,427,EGYENI,,,
235880,07-024-010,848,566,566,0,5,561,EGYENI,,,
235882,07-024-011,638,406,406,0,3,403,EGYENI,,,
235884,07-024-012,711,487,485,-2,6,479,EGYENI,,,
235886,07-024-013,752,519,519,0,0,519,EGYENI,,,
235888,07-024-014,768,516,515,-1,6,509,EGYENI,,,
235890,07-024-015,719,481,480,-1,3,477,EGYENI,,,
235892,07-024-016,683,479,479,0,6,473,EGYENI,,,
235894,07-024-017,458,304,302,-2,1,301,EGYENI,,,
235896,07-024-018,704,463,463,0,9,454,EGYENI,,,
235898,07-024-019,605,452,452,0,4,448,EGYENI,,,
235900,07-024-020,620,420,420,0,8,412,EGYENI,,,
235902,07-024-021,2039,1769,1767,-2,14,1753,EGYENI,,,
235904,07-024-022,735,527,524,-3,6,518,EGYENI,,,
235906,07-024-023,647,471,465,-6,8,457,EGYENI,,,
235908,07-024-024,727,500,499,-1,3,496,EGYENI,,,
235910,07-024-025,664,410,409,-1,6,403,EGYENI,,,
235912,07-024-026,676,450,446,-4,3,443,EGYENI,,,
235914,07-024-027,559,373,373,0,4,369,EGYENI,,,
235916,07-024-028,600,424,424,0,6,418,EGYENI,,,
235918,07-024-029,576,378,375,-3,3,372,EGYENI,,,
235920,07-024-030,742,518,518,0,6,512,EGYENI,,,
235922,07-024-031,551,361,360,-1,4,356,EGYENI,,,
235924,07-024-032,732,505,504,-1,7,497,EGYENI,,,
235926,07-024-033,719,459,459,0,4,455,EGYENI,,,
235928,07-024-034,593,399,397,-2,3,394,EGYENI,,,
235930,07-024-035,721,443,443,0,5,438,EGYENI,,,
235932,07-024-036,854,597,596,-1,8,588,EGYENI,,,
235934,07-024-037,930,636,635,-1,2,633,EGYENI,,,
235936,07-024-038,1058,736,735,-1,6,729,EGYENI,,,
235938,07-024-039,921,595,595,0,4,591,EGYENI,,,
235940,07-024-040,895,623,623,0,3,620,EGYENI,,,
235942,07-024-041,971,665,665,0,3,662,EGYENI,,,
235944,07-024-042,930,671,670,-1,4,666,EGYENI,,,
235946,07-024-043,1022,851,842,-9,5,837,EGYENI,,,
235948,07-024-044,1043,839,837,-2,10,827,EGYENI,,,
235950,07-024-045,1111,810,809,-1,6,803,EGYENI,,,
235952,07-024-046,1259,967,966,-1,19,947,EGYENI,,,
235954,07-024-047,402,242,242,0,1,241,EGYENI,,,
235956,07-024-100,0,0,0,0,0,0,EGYENI,,,
235958,07-025-001,805,483,483,0,9,474,EGYENI,,,
235960,07-025-002,465,305,305,0,2,303,EGYENI,,,
235962,07-025-003,571,376,376,0,4,372,EGYENI,,,
235964,07-026-001,788,494,494,0,6,488,EGYENI,,,
235966,07-026-002,788,496,496,0,2,494,EGYENI,,,
235968,07-026-003,860,531,529,-2,6,523,EGYENI,,,
235970,07-026-004,956,609,607,-2,8,599,EGYENI,,,
235972,07-026-005,817,467,467,0,5,462,EGYENI,,,
235974,07-026-006,570,356,356,0,3,353,EGYENI,,,
235976,07-026-007,287,168,168,0,3,165,EGYENI,,,
235978,07-026-008,138,87,87,0,2,85,EGYENI,,,
235980,07-027-001,1095,659,659,0,5,654,EGYENI,,,
235982,07-027-002,990,674,672,-2,10,662,EGYENI,,,
235984,07-027-003,1073,766,766,0,11,755,EGYENI,,,
235986,07-027-004,772,533,533,0,9,524,EGYENI,,,
235988,07-027-005,944,632,633,1,11,622,EGYENI,,,
235990,07-027-006,1082,628,628,0,11,617,EGYENI,,,
235992,07-027-007,213,142,142,0,1,141,EGYENI,,,
235994,07-027-008,286,165,165,0,3,162,EGYENI,,,
235996,07-028-001,1040,796,796,0,7,789,EGYENI,,,
235998,07-028-002,1006,776,774,-2,5,769,EGYENI,,,
236000,07-028-003,1253,953,953,0,12,941,EGYENI,,,
236002,07-028-004,116,74,74,0,1,73,EGYENI,,,
236004,07-029-001,973,702,699,-3,10,689,EGYENI,,,
236006,07-029-002,725,514,513,-1,2,511,EGYENI,,,
236008,07-030-001,681,547,545,-2,6,539,EGYENI,,,
236010,07-030-002,759,657,614,-43,7,607,EGYENI,,,
236012,07-031-001,717,522,522,0,1,521,EGYENI,,,
236014,07-032-001,501,381,381,0,6,375,EGYENI,,,
236016,07-033-001,1351,998,994,-4,9,985,EGYENI,,,
236018,07-033-002,1098,816,815,-1,16,799,EGYENI,,,
236020,07-033-003,1301,989,987,-2,10,977,EGYENI,,,
236022,07-033-004,1207,923,922,-1,4,918,EGYENI,,,
236024,07-033-005,1021,732,732,0,8,724,EGYENI,,,
236026,07-033-006,1344,1046,1045,-1,4,1041,EGYENI,,,
236028,07-033-007,1282,959,959,0,5,954,EGYENI,,,
236030,07-033-008,914,648,647,-1,5,642,EGYENI,,,
236032,07-034-001,1020,796,796,0,2,794,EGYENI,,,
236034,07-035-001,726,457,457,0,8,449,EGYENI,,,
236036,07-036-001,287,180,180,0,3,177,EGYENI,,,
236038,07-036-002,199,116,115,-1,0,115,EGYENI,,,
236040,07-036-003,228,132,132,0,1,131,EGYENI,,,
236042,07-037-001,980,739,739,0,8,731,EGYENI,,,
236044,07-037-002,750,526,525,-1,5,520,EGYENI,,,
236047,07-038-001,651,438,437,-1,5,432,EGYENI,,,
236049,07-038-002,81,59,59,0,0,59,EGYENI,,,
236050,07-039-001,1182,786,786,0,12,774,EGYENI,,,
236052,07-039-002,1050,683,680,-3,11,669,EGYENI,,,
236054,07-040-001,1047,670,670,0,5,665,EGYENI,,,
236056,07-041-001,949,712,712,0,2,710,EGYENI,,,
236058,07-042-001,974,637,635,-2,7,628,EGYENI,,,
236060,07-042-002,890,595,595,0,8,587,EGYENI,,,
236062,07-043-001,1101,873,872,-1,5,867,EGYENI,,,
236064,07-043-002,821,617,617,0,7,610,EGYENI,,,
236066,07-043-003,334,249,249,0,2,247,EGYENI,,,
236068,07-043-004,893,685,685,0,7,678,EGYENI,,,
236070,07-044-001,513,369,369,0,3,366,EGYENI,,,
236072,07-044-002,715,522,520,-2,1,519,EGYENI,,,
236074,07-045-001,611,464,464,0,1,463,EGYENI,,,
236076,07-045-002,618,473,472,-1,1,471,EGYENI,,,
236078,07-046-001,904,456,455,-1,7,448,EGYENI,,,
236080,07-046-002,1058,612,612,0,3,609,EGYENI,,,
236082,07-047-001,613,434,434,0,4,430,EGYENI,,,
236084,07-047-002,693,492,492,0,3,489,EGYENI,,,
236086,07-048-001,907,602,602,0,6,596,EGYENI,,,
236088,07-048-002,937,693,693,0,2,691,EGYENI,,,
236090,07-048-003,905,606,606,0,7,599,EGYENI,,,
236092,07-049-001,365,219,219,0,3,216,EGYENI,,,
236094,07-049-002,36,22,22,0,0,22,EGYENI,,,
236096,07-049-003,685,463,463,0,6,457,EGYENI,,,
236098,07-049-004,674,446,446,0,4,442,EGYENI,,,
236100,07-050-001,878,538,537,-1,5,532,EGYENI,,,
236102,07-050-002,870,548,548,0,7,541,EGYENI,,,
236104,07-050-003,720,479,479,0,7,472,EGYENI,,,
236107,07-051-001,722,533,532,-1,6,526,EGYENI,,,
236109,07-051-002,650,482,480,-2,5,475,EGYENI,,,
236110,07-051-003,773,529,529,0,4,525,EGYENI,,,
236112,07-052-001,1273,1027,1025,-2,15,1010,EGYENI,,,
236114,07-053-001,1039,732,732,0,8,724,EGYENI,,,
236116,07-053-002,1095,842,839,-3,6,833,EGYENI,,,
236118,07-053-003,1078,862,861,-1,9,852,EGYENI,,,
236120,07-053-004,1134,860,860,0,8,852,EGYENI,,,
236122,07-054-001,1059,781,782,1,15,767,EGYENI,,,
236124,07-054-002,845,547,546,-1,7,539,EGYENI,,,
236126,07-055-001,582,375,375,0,8,367,EGYENI,,,
236128,07-056-001,1003,658,658,0,2,656,EGYENI,,,
236130,07-056-002,945,583,583,0,12,571,EGYENI,,,
236132,07-056-003,910,592,592,0,8,584,EGYENI,,,
236134,07-056-004,855,403,403,0,8,395,EGYENI,,,
236136,07-057-001,709,451,451,0,5,446,EGYENI,,,
236138,07-058-001,451,262,262,0,8,254,EGYENI,,,
236140,07-058-002,567,287,287,0,9,278,EGYENI,,,
236142,07-059-001,712,393,393,0,7,386,EGYENI,,,
236144,07-059-002,937,567,567,0,6,561,EGYENI,,,
236146,07-060-001,436,330,330,0,2,328,EGYENI,,,
236148,07-061-001,633,398,398,0,5,393,EGYENI,,,
236150,07-061-002,823,587,587,0,7,580,EGYENI,,,
236152,07-061-003,727,515,514,-1,7,507,EGYENI,,,
236154,07-061-004,755,608,608,0,5,603,EGYENI,,,
236156,07-061-005,653,487,482,-5,4,478,EGYENI,,,
236158,07-061-006,628,512,512,0,6,506,EGYENI,,,
236160,07-061-007,881,652,652,0,8,644,EGYENI,,,
236162,07-061-008,505,357,357,0,4,353,EGYENI,,,
236164,07-061-009,807,605,605,0,4,601,EGYENI,,,
236166,07-061-010,574,473,468,-5,3,465,EGYENI,,,
236168,07-061-011,1076,807,807,0,6,801,EGYENI,,,
236170,07-061-012,1171,918,918,0,15,903,EGYENI,,,
236172,07-061-013,671,541,541,0,7,534,EGYENI,,,
236174,07-061-014,689,549,551,2,19,532,EGYENI,,,
236176,07-061-015,166,117,117,0,1,116,EGYENI,,,
236178,07-062-001,529,431,432,1,12,420,EGYENI,,,
236180,07-063-001,486,318,318,0,4,314,EGYENI,,,
236182,07-063-002,501,334,334,0,6,328,EGYENI,,,
236184,07-063-003,118,68,68,0,0,68,EGYENI,,,
236186,07-064-001,823,490,490,0,7,483,EGYENI,,,
236188,07-065-001,509,388,388,0,2,386,EGYENI,,,
236190,07-066-001,792,558,555,-3,2,553,EGYENI,,,
236192,07-066-002,864,676,675,-1,1,674,EGYENI,,,
236194,07-066-003,782,613,613,0,7,606,EGYENI,,,
236196,07-066-004,765,555,555,0,1,554,EGYENI,,,
236198,07-066-005,108,64,64,0,2,62,EGYENI,,,
236200,07-067-001,425,270,270,0,1,269,EGYENI,,,
236202,07-067-002,525,360,360,0,7,353,EGYENI,,,
236204,07-067-003,465,302,302,0,1,301,EGYENI,,,
236206,07-068-001,441,350,329,-21,3,326,EGYENI,,,
236208,07-068-002,224,145,145,0,3,142,EGYENI,,,
236210,07-069-001,999,788,785,-3,8,777,EGYENI,,,
236212,07-069-002,908,708,705,-3,6,699,EGYENI,,,
236214,07-069-003,875,687,686,-1,5,681,EGYENI,,,
236216,07-070-001,707,513,512,-1,9,503,EGYENI,,,
236218,07-070-002,706,493,493,0,5,488,EGYENI,,,
236220,07-071-001,942,749,748,-1,8,740,EGYENI,,,
236222,07-071-002,833,645,644,-1,8,636,EGYENI,,,
236224,07-072-001,761,447,445,-2,2,443,EGYENI,,,
236226,07-072-002,807,499,499,0,6,493,EGYENI,,,
236228,07-072-003,794,479,479,0,6,473,EGYENI,,,
236230,07-072-004,780,440,439,-1,5,434,EGYENI,,,
236232,07-073-001,317,184,184,0,6,178,EGYENI,,,
236234,07-073-002,923,587,586,-1,7,579,EGYENI,,,
236236,07-073-003,993,686,686,0,3,683,EGYENI,,,
236238,07-073-004,937,570,570,0,10,560,EGYENI,,,
236240,07-073-005,795,506,506,0,6,500,EGYENI,,,
236242,07-073-006,1062,704,704,0,7,697,EGYENI,,,
236244,07-073-007,191,104,104,0,3,101,EGYENI,,,
236246,07-074-001,956,627,627,0,11,616,EGYENI,,,
236248,07-074-002,713,454,456,2,16,440,EGYENI,,,
236250,07-074-003,959,577,577,0,7,570,EGYENI,,,
236252,07-074-004,1016,647,647,0,12,635,EGYENI,,,
236254,07-074-005,1110,733,733,0,11,722,EGYENI,,,
236256,07-075-001,987,708,707,-1,5,702,EGYENI,,,
236258,07-075-002,985,718,717,-1,11,706,EGYENI,,,
236260,07-076-001,924,660,656,-4,5,651,EGYENI,,,
236262,07-076-002,1016,695,695,0,6,689,EGYENI,,,
236264,07-076-003,911,701,702,1,19,683,EGYENI,,,
236266,07-076-004,987,780,780,0,5,775,EGYENI,,,
236268,07-077-001,898,616,617,1,12,605,EGYENI,,,
236270,07-077-002,923,601,602,1,13,589,EGYENI,,,
236272,07-077-003,967,631,631,0,10,621,EGYENI,,,
236274,07-078-001,698,444,443,-1,5,438,EGYENI,,,
236276,07-078-002,624,421,421,0,2,419,EGYENI,,,
236278,07-078-003,477,327,327,0,1,326,EGYENI,,,
236280,07-078-004,652,406,406,0,5,401,EGYENI,,,
236282,07-078-005,582,411,411,0,1,410,EGYENI,,,
236284,07-078-006,467,319,318,-1,2,316,EGYENI,,,
236286,07-078-007,552,394,394,0,2,392,EGYENI,,,
236288,07-078-008,562,378,377,-1,5,372,EGYENI,,,
236290,07-078-009,645,469,469,0,3,466,EGYENI,,,
236292,07-078-010,638,460,460,0,0,460,EGYENI,,,
236294,07-078-011,646,475,473,-2,1,472,EGYENI,,,
236296,07-078-012,687,488,479,-9,1,478,EGYENI,,,
236298,07-078-013,467,329,329,0,4,325,EGYENI,,,
236300,07-078-014,607,416,416,0,6,410,EGYENI,,,
236302,07-078-015,210,163,163,0,0,163,EGYENI,,,
236304,07-078-016,167,105,105,0,1,104,EGYENI,,,
236306,07-078-017,497,332,332,0,1,331,EGYENI,,,
236308,07-078-018,186,129,129,0,2,127,EGYENI,,,
236310,07-078-019,1228,1134,1126,-8,4,1122,EGYENI,,,
236312,07-079-001,578,417,417,0,1,416,EGYENI,,,
236314,07-080-001,1256,999,999,0,11,988,EGYENI,,,
236316,07-081-001,646,326,326,0,6,320,EGYENI,,,
236318,07-081-002,1079,547,547,0,6,541,EGYENI,,,
236320,07-082-001,480,329,329,0,5,324,EGYENI,,,
236322,07-083-001,1058,633,633,0,7,626,EGYENI,,,
236324,07-083-002,792,530,530,0,6,524,EGYENI,,,
236326,07-083-003,716,360,360,0,4,356,EGYENI,,,
236328,07-084-001,950,680,680,0,4,676,EGYENI,,,
236330,07-084-002,145,110,110,0,3,107,EGYENI,,,
236332,07-085-001,838,600,600,0,3,597,EGYENI,,,
236334,07-085-002,887,659,659,0,4,655,EGYENI,,,
236336,07-085-003,742,474,474,0,8,466,EGYENI,,,
236338,07-086-001,1010,709,709,0,3,706,EGYENI,,,
236340,07-086-002,1058,695,694,-1,2,692,EGYENI,,,
236342,07-086-003,801,541,541,0,8,533,EGYENI,,,
236344,07-086-004,705,437,437,0,3,434,EGYENI,,,
236346,07-087-001,746,479,479,0,4,475,EGYENI,,,
236348,07-087-002,732,494,494,0,3,491,EGYENI,,,
236350,07-088-001,404,328,328,0,5,323,EGYENI,,,
236352,07-089-001,1434,1200,1199,-1,10,1189,EGYENI,,,
236354,07-090-001,900,620,620,0,9,611,EGYENI,,,
236356,07-090-002,929,698,697,-1,8,689,EGYENI,,,
236358,07-090-003,1053,687,686,-1,10,676,EGYENI,,,
236360,07-090-004,940,618,623,5,6,617,EGYENI,,,
236362,07-091-001,1211,815,815,0,7,808,EGYENI,,,
236364,07-091-002,464,278,278,0,5,273,EGYENI,,,
236366,07-092-001,647,359,359,0,8,351,EGYENI,,,
236368,07-093-001,619,495,495,0,5,490,EGYENI,,,
236370,07-093-002,704,550,550,0,9,541,EGYENI,,,
236372,07-094-001,707,531,531,0,3,528,EGYENI,,,
236374,07-094-002,780,554,554,0,2,552,EGYENI,,,
236376,07-094-003,595,414,413,-1,4,409,EGYENI,,,
236378,07-094-004,517,395,396,1,7,389,EGYENI,,,
236380,07-094-005,630,427,427,0,4,423,EGYENI,,,
236382,07-094-006,445,355,354,-1,0,354,EGYENI,,,
236384,07-094-007,880,663,663,0,6,657,EGYENI,,,
236386,07-094-008,711,571,570,-1,5,565,EGYENI,,,
236388,07-094-009,802,548,548,0,13,535,EGYENI,,,
236390,07-094-010,743,530,518,-12,6,512,EGYENI,,,
236392,07-094-011,702,506,506,0,2,504,EGYENI,,,
236394,07-094-012,762,568,569,1,7,562,EGYENI,,,
236396,07-094-013,840,614,614,0,4,610,EGYENI,,,
236398,07-094-014,715,505,503,-2,2,501,EGYENI,,,
236400,07-094-015,624,468,467,-1,2,465,EGYENI,,,
236402,07-094-016,648,484,484,0,4,480,EGYENI,,,
236404,07-094-017,651,435,434,-1,5,429,EGYENI,,,
236406,07-094-018,783,573,573,0,5,568,EGYENI,,,
236408,07-094-019,735,537,536,-1,4,532,EGYENI,,,
236410,07-094-020,768,515,514,-1,3,511,EGYENI,,,
236412,07-094-021,894,669,669,0,6,663,EGYENI,,,
236414,07-094-022,778,557,557,0,9,548,EGYENI,,,
236416,07-094-023,858,653,653,0,10,643,EGYENI,,,
236418,07-094-024,580,423,423,0,3,420,EGYENI,,,
236420,07-094-025,521,371,371,0,5,366,EGYENI,,,
236422,07-094-026,638,466,464,-2,5,459,EGYENI,,,
236424,07-094-027,793,616,616,0,7,609,EGYENI,,,
236426,07-094-028,1163,536,536,0,6,530,EGYENI,,,
236428,07-094-029,806,557,557,0,4,553,EGYENI,,,
236430,07-094-030,972,658,655,-3,2,653,EGYENI,,,
236432,07-094-031,759,539,539,0,5,534,EGYENI,,,
236434,07-094-032,846,601,601,0,5,596,EGYENI,,,
236436,07-094-033,531,387,387,0,2,385,EGYENI,,,
236438,07-094-034,1070,822,822,0,6,816,EGYENI,,,
236440,07-094-035,830,622,620,-2,1,619,EGYENI,,,
236442,07-094-036,807,610,610,0,3,607,EGYENI,,,
236444,07-094-037,740,558,558,0,4,554,EGYENI,,,
236446,07-094-038,873,625,625,0,5,620,EGYENI,,,
236448,07-094-039,832,651,651,0,5,646,EGYENI,,,
236450,07-094-040,1006,757,755,-2,6,749,EGYENI,,,
236452,07-094-041,1027,772,770,-2,3,767,EGYENI,,,
236454,07-094-042,919,648,649,1,13,636,EGYENI,,,
236456,07-094-043,992,814,815,1,11,804,EGYENI,,,
236458,07-094-044,906,651,649,-2,5,644,EGYENI,,,
236460,07-094-045,630,456,454,-2,2,452,EGYENI,,,
236462,07-094-046,812,570,570,0,4,566,EGYENI,,,
236464,07-094-047,777,591,591,0,9,582,EGYENI,,,
236466,07-094-048,1162,943,944,1,8,936,EGYENI,,,
236468,07-094-049,1229,981,970,-11,6,964,EGYENI,,,
236470,07-094-050,743,559,560,1,13,547,EGYENI,,,
236472,07-094-051,1203,881,881,0,7,874,EGYENI,,,
236474,07-094-052,617,491,491,0,0,491,EGYENI,,,
236476,07-094-053,798,615,605,-10,4,601,EGYENI,,,
236478,07-094-054,1018,807,806,-1,5,801,EGYENI,,,
236480,07-094-055,709,565,565,0,4,561,EGYENI,,,
236482,07-094-056,2379,2149,2140,-9,13,2127,EGYENI,,,
236484,07-094-057,572,441,441,0,1,440,EGYENI,,,
236486,07-094-058,922,709,709,0,5,704,EGYENI,,,
236488,07-094-059,602,476,476,0,5,471,EGYENI,,,
236490,07-094-060,548,425,425,0,0,425,EGYENI,,,
236492,07-094-061,604,488,488,0,3,485,EGYENI,,,
236494,07-094-062,690,553,553,0,4,549,EGYENI,,,
236496,07-094-063,792,630,628,-2,6,622,EGYENI,,,
236498,07-094-064,955,775,775,0,4,771,EGYENI,,,
236500,07-094-065,686,573,571,-2,3,568,EGYENI,,,
236502,07-094-066,1067,893,894,1,13,881,EGYENI,,,
236504,07-094-067,1096,879,879,0,3,876,EGYENI,,,
236506,07-094-068,857,704,705,1,12,693,EGYENI,,,
236508,07-094-069,794,658,656,-2,10,646,EGYENI,,,
236510,07-094-070,959,799,799,0,6,793,EGYENI,,,
236512,07-094-071,775,651,651,0,2,649,EGYENI,,,
236514,07-094-072,875,732,732,0,9,723,EGYENI,,,
236516,07-094-073,1208,1006,1005,-1,8,997,EGYENI,,,
236518,07-094-074,665,532,529,-3,1,528,EGYENI,,,
236520,07-094-075,385,305,305,0,1,304,EGYENI,,,
236522,07-094-076,1033,717,717,0,6,711,EGYENI,,,
236524,07-094-077,939,796,796,0,5,791,EGYENI,,,
236526,07-094-078,1030,791,790,-1,9,781,EGYENI,,,
236528,07-094-079,850,674,674,0,4,670,EGYENI,,,
236530,07-094-080,1240,993,990,-3,15,975,EGYENI,,,
236532,07-094-081,797,608,607,-1,8,599,EGYENI,,,
236534,07-094-082,535,420,420,0,7,413,EGYENI,,,
236536,07-094-083,838,693,693,0,6,687,EGYENI,,,
236538,07-094-084,604,439,438,-1,1,437,EGYENI,,,
236540,07-094-085,914,719,720,1,16,704,EGYENI,,,
