TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01-001-001,FIDESZ-KDNP,308
Listas,2014EP,01-001-001,EGYÜTT-PM,83
Listas,2014EP,01-001-001,JOBBIK,50
Listas,2014EP,01-001-001,MSZP,47
Listas,2014EP,01-001-001,LMP,45
Listas,2014EP,01-001-001,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-001-001,SMS,2
Listas,2014EP,01-001-001,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-002,FIDESZ-KDNP,265
Listas,2014EP,01-001-002,EGYÜTT-PM,72
Listas,2014EP,01-001-002,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01-001-002,LMP,43
Listas,2014EP,01-001-002,MSZP,31
Listas,2014EP,01-001-002,JOBBIK,31
Listas,2014EP,01-001-002,SMS,2
Listas,2014EP,01-001-002,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-003,FIDESZ-KDNP,434
Listas,2014EP,01-001-003,LMP,135
Listas,2014EP,01-001-003,EGYÜTT-PM,102
Listas,2014EP,01-001-003,JOBBIK,71
Listas,2014EP,01-001-003,DEMOKRATIKUS KOALÍCIÓ,69
Listas,2014EP,01-001-003,MSZP,50
Listas,2014EP,01-001-003,SMS,2
Listas,2014EP,01-001-003,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-004,FIDESZ-KDNP,264
Listas,2014EP,01-001-004,LMP,56
Listas,2014EP,01-001-004,EGYÜTT-PM,51
Listas,2014EP,01-001-004,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01-001-004,MSZP,38
Listas,2014EP,01-001-004,JOBBIK,37
Listas,2014EP,01-001-004,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-004,SMS,1
Listas,2014EP,01-001-005,FIDESZ-KDNP,246
Listas,2014EP,01-001-005,EGYÜTT-PM,78
Listas,2014EP,01-001-005,LMP,55
Listas,2014EP,01-001-005,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01-001-005,JOBBIK,30
Listas,2014EP,01-001-005,MSZP,26
Listas,2014EP,01-001-005,A HAZA NEM ELADÓ,3
Listas,2014EP,01-001-005,SMS,1
Listas,2014EP,01-001-006,FIDESZ-KDNP,275
Listas,2014EP,01-001-006,EGYÜTT-PM,85
Listas,2014EP,01-001-006,LMP,73
Listas,2014EP,01-001-006,MSZP,36
Listas,2014EP,01-001-006,DEMOKRATIKUS KOALÍCIÓ,36
Listas,2014EP,01-001-006,JOBBIK,34
Listas,2014EP,01-001-006,A HAZA NEM ELADÓ,2
Listas,2014EP,01-001-006,SMS,1
