TIPUS,VALASZTAS,SZAVAZOKOR,LISTA,SZAVAZAT
Listas,2014EP,01-001-007,FIDESZ-KDNP,257
Listas,2014EP,01-001-007,EGYÜTT-PM,73
Listas,2014EP,01-001-007,DEMOKRATIKUS KOALÍCIÓ,39
Listas,2014EP,01-001-007,LMP,38
Listas,2014EP,01-001-007,MSZP,34
Listas,2014EP,01-001-007,JOBBIK,20
Listas,2014EP,01-001-007,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-007,SMS,1
Listas,2014EP,01-001-008,FIDESZ-KDNP,208
Listas,2014EP,01-001-008,EGYÜTT-PM,72
Listas,2014EP,01-001-008,LMP,49
Listas,2014EP,01-001-008,DEMOKRATIKUS KOALÍCIÓ,43
Listas,2014EP,01-001-008,JOBBIK,40
Listas,2014EP,01-001-008,MSZP,38
Listas,2014EP,01-001-008,SMS,1
Listas,2014EP,01-001-008,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-009,FIDESZ-KDNP,274
Listas,2014EP,01-001-009,LMP,58
Listas,2014EP,01-001-009,EGYÜTT-PM,56
Listas,2014EP,01-001-009,JOBBIK,54
Listas,2014EP,01-001-009,DEMOKRATIKUS KOALÍCIÓ,51
Listas,2014EP,01-001-009,MSZP,40
Listas,2014EP,01-001-009,SMS,1
Listas,2014EP,01-001-009,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-010,FIDESZ-KDNP,253
Listas,2014EP,01-001-010,EGYÜTT-PM,70
Listas,2014EP,01-001-010,DEMOKRATIKUS KOALÍCIÓ,64
Listas,2014EP,01-001-010,MSZP,51
Listas,2014EP,01-001-010,LMP,35
Listas,2014EP,01-001-010,JOBBIK,34
Listas,2014EP,01-001-010,SMS,2
Listas,2014EP,01-001-010,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-011,FIDESZ-KDNP,261
Listas,2014EP,01-001-011,EGYÜTT-PM,102
Listas,2014EP,01-001-011,LMP,68
Listas,2014EP,01-001-011,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-001-011,JOBBIK,36
Listas,2014EP,01-001-011,MSZP,29
Listas,2014EP,01-001-011,SMS,1
Listas,2014EP,01-001-011,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-012,FIDESZ-KDNP,264
Listas,2014EP,01-001-012,EGYÜTT-PM,70
Listas,2014EP,01-001-012,LMP,53
Listas,2014EP,01-001-012,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01-001-012,JOBBIK,37
Listas,2014EP,01-001-012,MSZP,32
Listas,2014EP,01-001-012,A HAZA NEM ELADÓ,2
Listas,2014EP,01-001-012,SMS,0
Listas,2014EP,01-001-013,FIDESZ-KDNP,319
Listas,2014EP,01-001-013,EGYÜTT-PM,69
Listas,2014EP,01-001-013,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01-001-013,LMP,47
Listas,2014EP,01-001-013,JOBBIK,41
Listas,2014EP,01-001-013,MSZP,36
Listas,2014EP,01-001-013,SMS,2
Listas,2014EP,01-001-013,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-014,FIDESZ-KDNP,249
Listas,2014EP,01-001-014,EGYÜTT-PM,80
Listas,2014EP,01-001-014,DEMOKRATIKUS KOALÍCIÓ,61
Listas,2014EP,01-001-014,LMP,51
Listas,2014EP,01-001-014,MSZP,32
Listas,2014EP,01-001-014,JOBBIK,25
Listas,2014EP,01-001-014,SMS,0
Listas,2014EP,01-001-014,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-015,FIDESZ-KDNP,248
Listas,2014EP,01-001-015,EGYÜTT-PM,81
Listas,2014EP,01-001-015,LMP,57
Listas,2014EP,01-001-015,DEMOKRATIKUS KOALÍCIÓ,48
Listas,2014EP,01-001-015,MSZP,45
Listas,2014EP,01-001-015,JOBBIK,37
Listas,2014EP,01-001-015,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-015,SMS,0
Listas,2014EP,01-001-016,FIDESZ-KDNP,286
Listas,2014EP,01-001-016,EGYÜTT-PM,78
Listas,2014EP,01-001-016,LMP,78
Listas,2014EP,01-001-016,DEMOKRATIKUS KOALÍCIÓ,55
Listas,2014EP,01-001-016,JOBBIK,38
Listas,2014EP,01-001-016,MSZP,24
Listas,2014EP,01-001-016,SMS,1
Listas,2014EP,01-001-016,A HAZA NEM ELADÓ,1
Listas,2014EP,01-001-017,FIDESZ-KDNP,244
Listas,2014EP,01-001-017,EGYÜTT-PM,90
Listas,2014EP,01-001-017,DEMOKRATIKUS KOALÍCIÓ,65
Listas,2014EP,01-001-017,LMP,57
Listas,2014EP,01-001-017,MSZP,44
Listas,2014EP,01-001-017,JOBBIK,25
Listas,2014EP,01-001-017,SMS,0
Listas,2014EP,01-001-017,A HAZA NEM ELADÓ,0
Listas,2014EP,01-001-018,FIDESZ-KDNP,274
Listas,2014EP,01-001-018,EGYÜTT-PM,65
Listas,2014EP,01-001-018,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01-001-018,LMP,49
Listas,2014EP,01-001-018,MSZP,33
Listas,2014EP,01-001-018,JOBBIK,23
Listas,2014EP,01-001-018,A HAZA NEM ELADÓ,2
Listas,2014EP,01-001-018,SMS,0
Listas,2014EP,01-001-019,FIDESZ-KDNP,230
Listas,2014EP,01-001-019,DEMOKRATIKUS KOALÍCIÓ,61
Listas,2014EP,01-001-019,LMP,55
Listas,2014EP,01-001-019,EGYÜTT-PM,55
Listas,2014EP,01-001-019,JOBBIK,44
Listas,2014EP,01-001-019,MSZP,24
Listas,2014EP,01-001-019,A HAZA NEM ELADÓ,5
Listas,2014EP,01-001-019,SMS,1
Listas,2014EP,01-001-020,FIDESZ-KDNP,238
Listas,2014EP,01-001-020,EGYÜTT-PM,87
Listas,2014EP,01-001-020,DEMOKRATIKUS KOALÍCIÓ,65
Listas,2014EP,01-001-020,LMP,61
Listas,2014EP,01-001-020,MSZP,52
Listas,2014EP,01-001-020,JOBBIK,25
Listas,2014EP,01-001-020,SMS,1
Listas,2014EP,01-001-020,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-001,FIDESZ-KDNP,280
Listas,2014EP,01-002-001,EGYÜTT-PM,71
Listas,2014EP,01-002-001,DEMOKRATIKUS KOALÍCIÓ,59
Listas,2014EP,01-002-001,LMP,48
Listas,2014EP,01-002-001,JOBBIK,45
Listas,2014EP,01-002-001,MSZP,37
Listas,2014EP,01-002-001,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-001,SMS,2
Listas,2014EP,01-002-002,FIDESZ-KDNP,252
Listas,2014EP,01-002-002,EGYÜTT-PM,85
Listas,2014EP,01-002-002,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01-002-002,LMP,45
Listas,2014EP,01-002-002,JOBBIK,36
Listas,2014EP,01-002-002,MSZP,33
Listas,2014EP,01-002-002,SMS,1
Listas,2014EP,01-002-002,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-003,FIDESZ-KDNP,160
Listas,2014EP,01-002-003,EGYÜTT-PM,45
Listas,2014EP,01-002-003,DEMOKRATIKUS KOALÍCIÓ,39
Listas,2014EP,01-002-003,MSZP,37
Listas,2014EP,01-002-003,LMP,27
Listas,2014EP,01-002-003,JOBBIK,23
Listas,2014EP,01-002-003,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-003,SMS,0
Listas,2014EP,01-002-004,FIDESZ-KDNP,255
Listas,2014EP,01-002-004,EGYÜTT-PM,67
Listas,2014EP,01-002-004,DEMOKRATIKUS KOALÍCIÓ,55
Listas,2014EP,01-002-004,MSZP,44
Listas,2014EP,01-002-004,LMP,36
Listas,2014EP,01-002-004,JOBBIK,34
Listas,2014EP,01-002-004,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-004,SMS,0
Listas,2014EP,01-002-005,FIDESZ-KDNP,198
Listas,2014EP,01-002-005,EGYÜTT-PM,117
Listas,2014EP,01-002-005,DEMOKRATIKUS KOALÍCIÓ,77
Listas,2014EP,01-002-005,MSZP,50
Listas,2014EP,01-002-005,LMP,36
Listas,2014EP,01-002-005,JOBBIK,22
Listas,2014EP,01-002-005,SMS,2
Listas,2014EP,01-002-005,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-006,FIDESZ-KDNP,239
Listas,2014EP,01-002-006,EGYÜTT-PM,78
Listas,2014EP,01-002-006,MSZP,48
Listas,2014EP,01-002-006,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01-002-006,JOBBIK,33
Listas,2014EP,01-002-006,LMP,27
Listas,2014EP,01-002-006,SMS,0
Listas,2014EP,01-002-006,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-007,FIDESZ-KDNP,199
Listas,2014EP,01-002-007,DEMOKRATIKUS KOALÍCIÓ,79
Listas,2014EP,01-002-007,EGYÜTT-PM,79
Listas,2014EP,01-002-007,LMP,44
Listas,2014EP,01-002-007,MSZP,39
Listas,2014EP,01-002-007,JOBBIK,24
Listas,2014EP,01-002-007,SMS,3
Listas,2014EP,01-002-007,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-008,FIDESZ-KDNP,287
Listas,2014EP,01-002-008,EGYÜTT-PM,74
Listas,2014EP,01-002-008,DEMOKRATIKUS KOALÍCIÓ,71
Listas,2014EP,01-002-008,MSZP,49
Listas,2014EP,01-002-008,LMP,34
Listas,2014EP,01-002-008,JOBBIK,24
Listas,2014EP,01-002-008,SMS,1
Listas,2014EP,01-002-008,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-009,FIDESZ-KDNP,210
Listas,2014EP,01-002-009,EGYÜTT-PM,95
Listas,2014EP,01-002-009,DEMOKRATIKUS KOALÍCIÓ,76
Listas,2014EP,01-002-009,LMP,42
Listas,2014EP,01-002-009,MSZP,38
Listas,2014EP,01-002-009,JOBBIK,18
Listas,2014EP,01-002-009,SMS,1
Listas,2014EP,01-002-009,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-010,FIDESZ-KDNP,221
Listas,2014EP,01-002-010,EGYÜTT-PM,82
Listas,2014EP,01-002-010,DEMOKRATIKUS KOALÍCIÓ,50
Listas,2014EP,01-002-010,LMP,32
Listas,2014EP,01-002-010,MSZP,30
Listas,2014EP,01-002-010,JOBBIK,20
Listas,2014EP,01-002-010,SMS,2
Listas,2014EP,01-002-010,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-011,FIDESZ-KDNP,565
Listas,2014EP,01-002-011,LMP,187
Listas,2014EP,01-002-011,EGYÜTT-PM,183
Listas,2014EP,01-002-011,JOBBIK,106
Listas,2014EP,01-002-011,DEMOKRATIKUS KOALÍCIÓ,92
Listas,2014EP,01-002-011,MSZP,65
Listas,2014EP,01-002-011,SMS,5
Listas,2014EP,01-002-011,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-012,FIDESZ-KDNP,272
Listas,2014EP,01-002-012,EGYÜTT-PM,143
Listas,2014EP,01-002-012,DEMOKRATIKUS KOALÍCIÓ,81
Listas,2014EP,01-002-012,LMP,54
Listas,2014EP,01-002-012,MSZP,39
Listas,2014EP,01-002-012,JOBBIK,28
Listas,2014EP,01-002-012,SMS,0
Listas,2014EP,01-002-012,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-013,FIDESZ-KDNP,177
Listas,2014EP,01-002-013,EGYÜTT-PM,70
Listas,2014EP,01-002-013,LMP,40
Listas,2014EP,01-002-013,DEMOKRATIKUS KOALÍCIÓ,36
Listas,2014EP,01-002-013,MSZP,29
Listas,2014EP,01-002-013,JOBBIK,18
Listas,2014EP,01-002-013,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-013,SMS,1
Listas,2014EP,01-002-014,FIDESZ-KDNP,194
Listas,2014EP,01-002-014,EGYÜTT-PM,79
Listas,2014EP,01-002-014,MSZP,50
Listas,2014EP,01-002-014,LMP,35
Listas,2014EP,01-002-014,DEMOKRATIKUS KOALÍCIÓ,35
Listas,2014EP,01-002-014,JOBBIK,22
Listas,2014EP,01-002-014,A HAZA NEM ELADÓ,2
Listas,2014EP,01-002-014,SMS,0
Listas,2014EP,01-002-015,FIDESZ-KDNP,264
Listas,2014EP,01-002-015,EGYÜTT-PM,74
Listas,2014EP,01-002-015,DEMOKRATIKUS KOALÍCIÓ,62
Listas,2014EP,01-002-015,LMP,44
Listas,2014EP,01-002-015,MSZP,33
Listas,2014EP,01-002-015,JOBBIK,13
Listas,2014EP,01-002-015,SMS,0
Listas,2014EP,01-002-015,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-016,FIDESZ-KDNP,286
Listas,2014EP,01-002-016,EGYÜTT-PM,89
Listas,2014EP,01-002-016,DEMOKRATIKUS KOALÍCIÓ,67
Listas,2014EP,01-002-016,MSZP,51
Listas,2014EP,01-002-016,LMP,43
Listas,2014EP,01-002-016,JOBBIK,17
Listas,2014EP,01-002-016,SMS,2
Listas,2014EP,01-002-016,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-017,FIDESZ-KDNP,184
Listas,2014EP,01-002-017,EGYÜTT-PM,79
Listas,2014EP,01-002-017,MSZP,46
Listas,2014EP,01-002-017,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-002-017,LMP,38
Listas,2014EP,01-002-017,JOBBIK,34
Listas,2014EP,01-002-017,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-017,SMS,0
Listas,2014EP,01-002-018,FIDESZ-KDNP,219
Listas,2014EP,01-002-018,EGYÜTT-PM,96
Listas,2014EP,01-002-018,DEMOKRATIKUS KOALÍCIÓ,59
Listas,2014EP,01-002-018,MSZP,50
Listas,2014EP,01-002-018,LMP,26
Listas,2014EP,01-002-018,JOBBIK,25
Listas,2014EP,01-002-018,SMS,2
Listas,2014EP,01-002-018,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-019,FIDESZ-KDNP,223
Listas,2014EP,01-002-019,EGYÜTT-PM,101
Listas,2014EP,01-002-019,DEMOKRATIKUS KOALÍCIÓ,76
Listas,2014EP,01-002-019,LMP,37
Listas,2014EP,01-002-019,MSZP,36
Listas,2014EP,01-002-019,JOBBIK,21
Listas,2014EP,01-002-019,SMS,1
Listas,2014EP,01-002-019,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-020,FIDESZ-KDNP,228
Listas,2014EP,01-002-020,EGYÜTT-PM,89
Listas,2014EP,01-002-020,DEMOKRATIKUS KOALÍCIÓ,67
Listas,2014EP,01-002-020,MSZP,45
Listas,2014EP,01-002-020,LMP,43
Listas,2014EP,01-002-020,JOBBIK,15
Listas,2014EP,01-002-020,SMS,3
Listas,2014EP,01-002-020,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-021,FIDESZ-KDNP,154
Listas,2014EP,01-002-021,EGYÜTT-PM,62
Listas,2014EP,01-002-021,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-002-021,LMP,27
Listas,2014EP,01-002-021,MSZP,22
Listas,2014EP,01-002-021,JOBBIK,20
Listas,2014EP,01-002-021,A HAZA NEM ELADÓ,2
Listas,2014EP,01-002-021,SMS,0
Listas,2014EP,01-002-022,FIDESZ-KDNP,240
Listas,2014EP,01-002-022,EGYÜTT-PM,101
Listas,2014EP,01-002-022,DEMOKRATIKUS KOALÍCIÓ,51
Listas,2014EP,01-002-022,LMP,41
Listas,2014EP,01-002-022,JOBBIK,36
Listas,2014EP,01-002-022,MSZP,27
Listas,2014EP,01-002-022,SMS,1
Listas,2014EP,01-002-022,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-023,FIDESZ-KDNP,200
Listas,2014EP,01-002-023,EGYÜTT-PM,126
Listas,2014EP,01-002-023,DEMOKRATIKUS KOALÍCIÓ,64
Listas,2014EP,01-002-023,MSZP,60
Listas,2014EP,01-002-023,LMP,48
Listas,2014EP,01-002-023,JOBBIK,18
Listas,2014EP,01-002-023,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-023,SMS,0
Listas,2014EP,01-002-024,FIDESZ-KDNP,238
Listas,2014EP,01-002-024,EGYÜTT-PM,100
Listas,2014EP,01-002-024,DEMOKRATIKUS KOALÍCIÓ,62
Listas,2014EP,01-002-024,MSZP,54
Listas,2014EP,01-002-024,LMP,43
Listas,2014EP,01-002-024,JOBBIK,42
Listas,2014EP,01-002-024,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-024,SMS,0
Listas,2014EP,01-002-025,FIDESZ-KDNP,251
Listas,2014EP,01-002-025,EGYÜTT-PM,61
Listas,2014EP,01-002-025,LMP,41
Listas,2014EP,01-002-025,DEMOKRATIKUS KOALÍCIÓ,40
Listas,2014EP,01-002-025,JOBBIK,30
Listas,2014EP,01-002-025,MSZP,26
Listas,2014EP,01-002-025,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-025,SMS,0
Listas,2014EP,01-002-026,FIDESZ-KDNP,257
Listas,2014EP,01-002-026,EGYÜTT-PM,100
Listas,2014EP,01-002-026,DEMOKRATIKUS KOALÍCIÓ,57
Listas,2014EP,01-002-026,LMP,44
Listas,2014EP,01-002-026,MSZP,40
Listas,2014EP,01-002-026,JOBBIK,17
Listas,2014EP,01-002-026,SMS,3
Listas,2014EP,01-002-026,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-027,FIDESZ-KDNP,213
Listas,2014EP,01-002-027,EGYÜTT-PM,73
Listas,2014EP,01-002-027,DEMOKRATIKUS KOALÍCIÓ,43
Listas,2014EP,01-002-027,MSZP,34
Listas,2014EP,01-002-027,LMP,31
Listas,2014EP,01-002-027,JOBBIK,14
Listas,2014EP,01-002-027,SMS,1
Listas,2014EP,01-002-027,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-028,FIDESZ-KDNP,212
Listas,2014EP,01-002-028,EGYÜTT-PM,60
Listas,2014EP,01-002-028,DEMOKRATIKUS KOALÍCIÓ,38
Listas,2014EP,01-002-028,JOBBIK,32
Listas,2014EP,01-002-028,MSZP,31
Listas,2014EP,01-002-028,LMP,29
Listas,2014EP,01-002-028,A HAZA NEM ELADÓ,4
Listas,2014EP,01-002-028,SMS,2
Listas,2014EP,01-002-029,FIDESZ-KDNP,188
Listas,2014EP,01-002-029,EGYÜTT-PM,73
Listas,2014EP,01-002-029,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01-002-029,LMP,23
Listas,2014EP,01-002-029,MSZP,19
Listas,2014EP,01-002-029,JOBBIK,13
Listas,2014EP,01-002-029,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-029,SMS,2
Listas,2014EP,01-002-030,FIDESZ-KDNP,123
Listas,2014EP,01-002-030,EGYÜTT-PM,76
Listas,2014EP,01-002-030,MSZP,38
Listas,2014EP,01-002-030,DEMOKRATIKUS KOALÍCIÓ,37
Listas,2014EP,01-002-030,LMP,24
Listas,2014EP,01-002-030,JOBBIK,10
Listas,2014EP,01-002-030,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-030,SMS,0
Listas,2014EP,01-002-031,FIDESZ-KDNP,321
Listas,2014EP,01-002-031,EGYÜTT-PM,129
Listas,2014EP,01-002-031,DEMOKRATIKUS KOALÍCIÓ,69
Listas,2014EP,01-002-031,MSZP,60
Listas,2014EP,01-002-031,LMP,46
Listas,2014EP,01-002-031,JOBBIK,36
Listas,2014EP,01-002-031,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-031,SMS,0
Listas,2014EP,01-002-032,FIDESZ-KDNP,285
Listas,2014EP,01-002-032,EGYÜTT-PM,111
Listas,2014EP,01-002-032,DEMOKRATIKUS KOALÍCIÓ,73
Listas,2014EP,01-002-032,LMP,51
Listas,2014EP,01-002-032,JOBBIK,31
Listas,2014EP,01-002-032,MSZP,26
Listas,2014EP,01-002-032,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-032,SMS,0
Listas,2014EP,01-002-033,FIDESZ-KDNP,238
Listas,2014EP,01-002-033,EGYÜTT-PM,88
Listas,2014EP,01-002-033,DEMOKRATIKUS KOALÍCIÓ,72
Listas,2014EP,01-002-033,LMP,45
Listas,2014EP,01-002-033,MSZP,31
Listas,2014EP,01-002-033,JOBBIK,22
Listas,2014EP,01-002-033,SMS,1
Listas,2014EP,01-002-033,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-034,FIDESZ-KDNP,198
Listas,2014EP,01-002-034,EGYÜTT-PM,73
Listas,2014EP,01-002-034,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-002-034,LMP,35
Listas,2014EP,01-002-034,MSZP,21
Listas,2014EP,01-002-034,JOBBIK,16
Listas,2014EP,01-002-034,SMS,2
Listas,2014EP,01-002-034,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-035,FIDESZ-KDNP,272
Listas,2014EP,01-002-035,EGYÜTT-PM,65
Listas,2014EP,01-002-035,DEMOKRATIKUS KOALÍCIÓ,51
Listas,2014EP,01-002-035,LMP,45
Listas,2014EP,01-002-035,JOBBIK,39
Listas,2014EP,01-002-035,MSZP,27
Listas,2014EP,01-002-035,SMS,2
Listas,2014EP,01-002-035,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-036,FIDESZ-KDNP,233
Listas,2014EP,01-002-036,EGYÜTT-PM,84
Listas,2014EP,01-002-036,LMP,51
Listas,2014EP,01-002-036,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01-002-036,MSZP,41
Listas,2014EP,01-002-036,JOBBIK,12
Listas,2014EP,01-002-036,SMS,2
Listas,2014EP,01-002-036,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-037,FIDESZ-KDNP,239
Listas,2014EP,01-002-037,EGYÜTT-PM,72
Listas,2014EP,01-002-037,LMP,67
Listas,2014EP,01-002-037,DEMOKRATIKUS KOALÍCIÓ,47
Listas,2014EP,01-002-037,JOBBIK,25
Listas,2014EP,01-002-037,MSZP,22
Listas,2014EP,01-002-037,SMS,3
Listas,2014EP,01-002-037,A HAZA NEM ELADÓ,2
Listas,2014EP,01-002-038,FIDESZ-KDNP,269
Listas,2014EP,01-002-038,EGYÜTT-PM,75
Listas,2014EP,01-002-038,LMP,58
Listas,2014EP,01-002-038,JOBBIK,54
Listas,2014EP,01-002-038,DEMOKRATIKUS KOALÍCIÓ,40
Listas,2014EP,01-002-038,MSZP,35
Listas,2014EP,01-002-038,SMS,1
Listas,2014EP,01-002-038,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-039,FIDESZ-KDNP,219
Listas,2014EP,01-002-039,EGYÜTT-PM,68
Listas,2014EP,01-002-039,LMP,34
Listas,2014EP,01-002-039,JOBBIK,33
Listas,2014EP,01-002-039,MSZP,33
Listas,2014EP,01-002-039,DEMOKRATIKUS KOALÍCIÓ,32
Listas,2014EP,01-002-039,SMS,2
Listas,2014EP,01-002-039,A HAZA NEM ELADÓ,1
Listas,2014EP,01-002-040,FIDESZ-KDNP,224
Listas,2014EP,01-002-040,DEMOKRATIKUS KOALÍCIÓ,42
Listas,2014EP,01-002-040,MSZP,37
Listas,2014EP,01-002-040,LMP,35
Listas,2014EP,01-002-040,JOBBIK,34
Listas,2014EP,01-002-040,EGYÜTT-PM,29
Listas,2014EP,01-002-040,A HAZA NEM ELADÓ,4
Listas,2014EP,01-002-040,SMS,0
Listas,2014EP,01-002-041,FIDESZ-KDNP,197
Listas,2014EP,01-002-041,EGYÜTT-PM,38
Listas,2014EP,01-002-041,LMP,37
Listas,2014EP,01-002-041,DEMOKRATIKUS KOALÍCIÓ,32
Listas,2014EP,01-002-041,MSZP,31
Listas,2014EP,01-002-041,JOBBIK,29
Listas,2014EP,01-002-041,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-041,SMS,0
Listas,2014EP,01-002-042,FIDESZ-KDNP,183
Listas,2014EP,01-002-042,EGYÜTT-PM,59
Listas,2014EP,01-002-042,LMP,44
Listas,2014EP,01-002-042,DEMOKRATIKUS KOALÍCIÓ,43
Listas,2014EP,01-002-042,JOBBIK,40
Listas,2014EP,01-002-042,MSZP,32
Listas,2014EP,01-002-042,SMS,1
Listas,2014EP,01-002-042,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-043,FIDESZ-KDNP,219
Listas,2014EP,01-002-043,EGYÜTT-PM,70
Listas,2014EP,01-002-043,DEMOKRATIKUS KOALÍCIÓ,41
Listas,2014EP,01-002-043,LMP,40
Listas,2014EP,01-002-043,JOBBIK,28
Listas,2014EP,01-002-043,MSZP,23
Listas,2014EP,01-002-043,SMS,2
Listas,2014EP,01-002-043,A HAZA NEM ELADÓ,0
Listas,2014EP,01-002-044,FIDESZ-KDNP,238
Listas,2014EP,01-002-044,EGYÜTT-PM,65
Listas,2014EP,01-002-044,LMP,60
Listas,2014EP,01-002-044,JOBBIK,48
Listas,2014EP,01-002-044,DEMOKRATIKUS KOALÍCIÓ,40
Listas,2014EP,01-002-044,MSZP,36
Listas,2014EP,01-002-044,A HAZA NEM ELADÓ,3
Listas,2014EP,01-002-044,SMS,0
Listas,2014EP,01-002-045,FIDESZ-KDNP,271
Listas,2014EP,01-002-045,DEMOKRATIKUS KOALÍCIÓ,53
Listas,2014EP,01-002-045,EGYÜTT-PM,50
